Categorii de fructe, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Kg/ pom, Valoare
Prune, Total, Bihor, Anul 2000, Kilograme, 10
Prune, Total, Bihor, Anul 2001, Kilograme, 8
Prune, Total, Bihor, Anul 2002, Kilograme, 5
Prune, Total, Bihor, Anul 2003, Kilograme, 11
Prune, Total, Bihor, Anul 2004, Kilograme, 11
Prune, Total, Bihor, Anul 2005, Kilograme, 14
Prune, Total, Bihor, Anul 2006, Kilograme, 9
Prune, Total, Bihor, Anul 2007, Kilograme, 7
Prune, Total, Bihor, Anul 2008, Kilograme, 9
Prune, Total, Bihor, Anul 2009, Kilograme, 15
Prune, Total, Bihor, Anul 2010, Kilograme, 11
Prune, Total, Bihor, Anul 2011, Kilograme, 25
Prune, Total, Bihor, Anul 2012, Kilograme, 16
Prune, Total, Bihor, Anul 2013, Kilograme, 18
Prune, Total, Bihor, Anul 2014, Kilograme, 19
Prune, Total, Bihor, Anul 2015, Kilograme, 21
Prune, Total, Bihor, Anul 2016, Kilograme, 13
Prune, Total, Bihor, Anul 2017, Kilograme, 16
Prune, Total, Bihor, Anul 2018, Kilograme, 27
Prune, Total, Bihor, Anul 2019, Kilograme, 22
Prune, Total, Bihor, Anul 2020, Kilograme, 20
Prune, Total, Bihor, Anul 2021, Kilograme, 24
Prune, Total, Bihor, Anul 2022, Kilograme, 21
Prune, Total, Bihor, Anul 2023, Kilograme, 19
Prune, Total, Bihor, Anul 2024, Kilograme, 17
Prune, Total, Bistrita-Nasaud, Anul 2000, Kilograme, 8
Prune, Total, Bistrita-Nasaud, Anul 2001, Kilograme, 6
Prune, Total, Bistrita-Nasaud, Anul 2002, Kilograme, 5
Prune, Total, Bistrita-Nasaud, Anul 2003, Kilograme, 9
Prune, Total, Bistrita-Nasaud, Anul 2004, Kilograme, 4
Prune, Total, Bistrita-Nasaud, Anul 2005, Kilograme, 15
Prune, Total, Bistrita-Nasaud, Anul 2006, Kilograme, 17
Prune, Total, Bistrita-Nasaud, Anul 2007, Kilograme, 3
Prune, Total, Bistrita-Nasaud, Anul 2008, Kilograme, 7
Prune, Total, Bistrita-Nasaud, Anul 2009, Kilograme, 9
Prune, Total, Bistrita-Nasaud, Anul 2010, Kilograme, 8
Prune, Total, Bistrita-Nasaud, Anul 2011, Kilograme, 14
Prune, Total, Bistrita-Nasaud, Anul 2012, Kilograme, 11
Prune, Total, Bistrita-Nasaud, Anul 2013, Kilograme, 15
Prune, Total, Bistrita-Nasaud, Anul 2014, Kilograme, 19
Prune, Total, Bistrita-Nasaud, Anul 2015, Kilograme, 18
Prune, Total, Bistrita-Nasaud, Anul 2016, Kilograme, 16
Prune, Total, Bistrita-Nasaud, Anul 2017, Kilograme, 14
Prune, Total, Bistrita-Nasaud, Anul 2018, Kilograme, 22
Prune, Total, Bistrita-Nasaud, Anul 2019, Kilograme, 20
Prune, Total, Bistrita-Nasaud, Anul 2020, Kilograme, 25
Prune, Total, Bistrita-Nasaud, Anul 2021, Kilograme, 24
Prune, Total, Bistrita-Nasaud, Anul 2022, Kilograme, 14
Prune, Total, Bistrita-Nasaud, Anul 2023, Kilograme, 15
Prune, Total, Bistrita-Nasaud, Anul 2024, Kilograme, 14
Prune, Total, Cluj, Anul 2000, Kilograme, 13
Prune, Total, Cluj, Anul 2001, Kilograme, 10
Prune, Total, Cluj, Anul 2002, Kilograme, 16
Prune, Total, Cluj, Anul 2003, Kilograme, 30
Prune, Total, Cluj, Anul 2004, Kilograme, 15
Prune, Total, Cluj, Anul 2005, Kilograme, 7
Prune, Total, Cluj, Anul 2006, Kilograme, 8
Prune, Total, Cluj, Anul 2007, Kilograme, 6
Prune, Total, Cluj, Anul 2008, Kilograme, 8
Prune, Total, Cluj, Anul 2009, Kilograme, 16
Prune, Total, Cluj, Anul 2010, Kilograme, 13
Prune, Total, Cluj, Anul 2011, Kilograme, 17
Prune, Total, Cluj, Anul 2012, Kilograme, 12
Prune, Total, Cluj, Anul 2013, Kilograme, 14
Prune, Total, Cluj, Anul 2014, Kilograme, 19
Prune, Total, Cluj, Anul 2015, Kilograme, 19
Prune, Total, Cluj, Anul 2016, Kilograme, 20
Prune, Total, Cluj, Anul 2017, Kilograme, 14
Prune, Total, Cluj, Anul 2018, Kilograme, 27
Prune, Total, Cluj, Anul 2019, Kilograme, 23
Prune, Total, Cluj, Anul 2020, Kilograme, 21
Prune, Total, Cluj, Anul 2021, Kilograme, 32
Prune, Total, Cluj, Anul 2022, Kilograme, 27
Prune, Total, Cluj, Anul 2023, Kilograme, 26
Prune, Total, Cluj, Anul 2024, Kilograme, 23
Prune, Total, Maramures, Anul 2000, Kilograme, 11
Prune, Total, Maramures, Anul 2001, Kilograme, 9
Prune, Total, Maramures, Anul 2002, Kilograme, 4
Prune, Total, Maramures, Anul 2003, Kilograme, 7
Prune, Total, Maramures, Anul 2004, Kilograme, 3
Prune, Total, Maramures, Anul 2005, Kilograme, 11
Prune, Total, Maramures, Anul 2006, Kilograme, 8
Prune, Total, Maramures, Anul 2007, Kilograme, 4
Prune, Total, Maramures, Anul 2008, Kilograme, 22
Prune, Total, Maramures, Anul 2009, Kilograme, 21
Prune, Total, Maramures, Anul 2010, Kilograme, 20
Prune, Total, Maramures, Anul 2011, Kilograme, 15
Prune, Total, Maramures, Anul 2012, Kilograme, 10
Prune, Total, Maramures, Anul 2013, Kilograme, 13
Prune, Total, Maramures, Anul 2014, Kilograme, 15
Prune, Total, Maramures, Anul 2015, Kilograme, 15
Prune, Total, Maramures, Anul 2016, Kilograme, 16
Prune, Total, Maramures, Anul 2017, Kilograme, 12
Prune, Total, Maramures, Anul 2018, Kilograme, 26
Prune, Total, Maramures, Anul 2019, Kilograme, 24
Prune, Total, Maramures, Anul 2020, Kilograme, 27
Prune, Total, Maramures, Anul 2021, Kilograme, 24
Prune, Total, Maramures, Anul 2022, Kilograme, 21
Prune, Total, Maramures, Anul 2023, Kilograme, 20
Prune, Total, Maramures, Anul 2024, Kilograme, 19
Prune, Total, Satu Mare, Anul 2000, Kilograme, 12
Prune, Total, Satu Mare, Anul 2001, Kilograme, 15
Prune, Total, Satu Mare, Anul 2002, Kilograme, 12
Prune, Total, Satu Mare, Anul 2003, Kilograme, 13
Prune, Total, Satu Mare, Anul 2004, Kilograme, 18
Prune, Total, Satu Mare, Anul 2005, Kilograme, 8
Prune, Total, Satu Mare, Anul 2006, Kilograme, 14
Prune, Total, Satu Mare, Anul 2007, Kilograme, 5
Prune, Total, Satu Mare, Anul 2008, Kilograme, 13
Prune, Total, Satu Mare, Anul 2009, Kilograme, 13
Prune, Total, Satu Mare, Anul 2010, Kilograme, 12
Prune, Total, Satu Mare, Anul 2011, Kilograme, 13
Prune, Total, Satu Mare, Anul 2012, Kilograme, 11
Prune, Total, Satu Mare, Anul 2013, Kilograme, 15
Prune, Total, Satu Mare, Anul 2014, Kilograme, 16
Prune, Total, Satu Mare, Anul 2015, Kilograme, 16
Prune, Total, Satu Mare, Anul 2016, Kilograme, 15
Prune, Total, Satu Mare, Anul 2017, Kilograme, 17
Prune, Total, Satu Mare, Anul 2018, Kilograme, 28
Prune, Total, Satu Mare, Anul 2019, Kilograme, 25
Prune, Total, Satu Mare, Anul 2020, Kilograme, 26
Prune, Total, Satu Mare, Anul 2021, Kilograme, 26
Prune, Total, Satu Mare, Anul 2022, Kilograme, 22
Prune, Total, Satu Mare, Anul 2023, Kilograme, 22
Prune, Total, Satu Mare, Anul 2024, Kilograme, 21
Prune, Total, Salaj, Anul 2000, Kilograme, 21
Prune, Total, Salaj, Anul 2001, Kilograme, 13
Prune, Total, Salaj, Anul 2002, Kilograme, 4
Prune, Total, Salaj, Anul 2003, Kilograme, 35
Prune, Total, Salaj, Anul 2004, Kilograme, 7
Prune, Total, Salaj, Anul 2005, Kilograme, 6
Prune, Total, Salaj, Anul 2006, Kilograme, 22
Prune, Total, Salaj, Anul 2007, Kilograme, 1
Prune, Total, Salaj, Anul 2008, Kilograme, 14
Prune, Total, Salaj, Anul 2009, Kilograme, 14
Prune, Total, Salaj, Anul 2010, Kilograme, 13
Prune, Total, Salaj, Anul 2011, Kilograme, 11
Prune, Total, Salaj, Anul 2012, Kilograme, 8
Prune, Total, Salaj, Anul 2013, Kilograme, 12
Prune, Total, Salaj, Anul 2014, Kilograme, 10
Prune, Total, Salaj, Anul 2015, Kilograme, 11
Prune, Total, Salaj, Anul 2016, Kilograme, 11
Prune, Total, Salaj, Anul 2017, Kilograme, 11
Prune, Total, Salaj, Anul 2018, Kilograme, 29
Prune, Total, Salaj, Anul 2019, Kilograme, 27
Prune, Total, Salaj, Anul 2020, Kilograme, 27
Prune, Total, Salaj, Anul 2021, Kilograme, 28
Prune, Total, Salaj, Anul 2022, Kilograme, 22
Prune, Total, Salaj, Anul 2023, Kilograme, 22
Prune, Total, Salaj, Anul 2024, Kilograme, 21
Prune, Total, Alba, Anul 2000, Kilograme, 9
Prune, Total, Alba, Anul 2001, Kilograme, 11
