Categorii de pomi fructiferi, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Pruni, Total, Bihor, Anul 2000, Numar, 1563587
Pruni, Total, Bihor, Anul 2001, Numar, 1534317
Pruni, Total, Bihor, Anul 2002, Numar, 1406844
Pruni, Total, Bihor, Anul 2003, Numar, 1809161
Pruni, Total, Bihor, Anul 2004, Numar, 1460464
Pruni, Total, Bihor, Anul 2005, Numar, 1177299
Pruni, Total, Bihor, Anul 2006, Numar, 1137016
Pruni, Total, Bihor, Anul 2007, Numar, 886284
Pruni, Total, Bihor, Anul 2008, Numar, 900285
Pruni, Total, Bihor, Anul 2009, Numar, 891422
Pruni, Total, Bihor, Anul 2010, Numar, 872062
Pruni, Total, Bihor, Anul 2011, Numar, 764833
Pruni, Total, Bihor, Anul 2012, Numar, 755911
Pruni, Total, Bihor, Anul 2013, Numar, 750767
Pruni, Total, Bihor, Anul 2014, Numar, 730191
Pruni, Total, Bihor, Anul 2015, Numar, 727009
Pruni, Total, Bihor, Anul 2016, Numar, 724080
Pruni, Total, Bihor, Anul 2017, Numar, 722322
Pruni, Total, Bihor, Anul 2018, Numar, 721204
Pruni, Total, Bihor, Anul 2019, Numar, 733915
Pruni, Total, Bihor, Anul 2020, Numar, 731260
Pruni, Total, Bihor, Anul 2021, Numar, 763898
Pruni, Total, Bihor, Anul 2022, Numar, 1076589
Pruni, Total, Bihor, Anul 2023, Numar, 1142876
Pruni, Total, Bihor, Anul 2024, Numar, 1097809
Pruni, Total, Bistrita-Nasaud, Anul 2000, Numar, 975893
Pruni, Total, Bistrita-Nasaud, Anul 2001, Numar, 913281
Pruni, Total, Bistrita-Nasaud, Anul 2002, Numar, 871326
Pruni, Total, Bistrita-Nasaud, Anul 2003, Numar, 815770
Pruni, Total, Bistrita-Nasaud, Anul 2004, Numar, 803233
Pruni, Total, Bistrita-Nasaud, Anul 2005, Numar, 784956
Pruni, Total, Bistrita-Nasaud, Anul 2006, Numar, 717873
Pruni, Total, Bistrita-Nasaud, Anul 2007, Numar, 752348
Pruni, Total, Bistrita-Nasaud, Anul 2008, Numar, 778912
Pruni, Total, Bistrita-Nasaud, Anul 2009, Numar, 535442
Pruni, Total, Bistrita-Nasaud, Anul 2010, Numar, 529182
Pruni, Total, Bistrita-Nasaud, Anul 2011, Numar, 519104
Pruni, Total, Bistrita-Nasaud, Anul 2012, Numar, 508598
Pruni, Total, Bistrita-Nasaud, Anul 2013, Numar, 528319
Pruni, Total, Bistrita-Nasaud, Anul 2014, Numar, 543358
Pruni, Total, Bistrita-Nasaud, Anul 2015, Numar, 589043
Pruni, Total, Bistrita-Nasaud, Anul 2016, Numar, 588969
Pruni, Total, Bistrita-Nasaud, Anul 2017, Numar, 568085
Pruni, Total, Bistrita-Nasaud, Anul 2018, Numar, 612063
Pruni, Total, Bistrita-Nasaud, Anul 2019, Numar, 569988
Pruni, Total, Bistrita-Nasaud, Anul 2020, Numar, 515361
Pruni, Total, Bistrita-Nasaud, Anul 2021, Numar, 524450
Pruni, Total, Bistrita-Nasaud, Anul 2022, Numar, 558895
Pruni, Total, Bistrita-Nasaud, Anul 2023, Numar, 569106
Pruni, Total, Bistrita-Nasaud, Anul 2024, Numar, 556456
Pruni, Total, Cluj, Anul 2000, Numar, 1605291
Pruni, Total, Cluj, Anul 2001, Numar, 1570205
Pruni, Total, Cluj, Anul 2002, Numar, 1627619
Pruni, Total, Cluj, Anul 2003, Numar, 1482081
Pruni, Total, Cluj, Anul 2004, Numar, 1395649
Pruni, Total, Cluj, Anul 2005, Numar, 1301382
Pruni, Total, Cluj, Anul 2006, Numar, 1301630
Pruni, Total, Cluj, Anul 2007, Numar, 543024
Pruni, Total, Cluj, Anul 2008, Numar, 530695
Pruni, Total, Cluj, Anul 2009, Numar, 525894
Pruni, Total, Cluj, Anul 2010, Numar, 535021
Pruni, Total, Cluj, Anul 2011, Numar, 522575
Pruni, Total, Cluj, Anul 2012, Numar, 552885
Pruni, Total, Cluj, Anul 2013, Numar, 604764
Pruni, Total, Cluj, Anul 2014, Numar, 514139
Pruni, Total, Cluj, Anul 2015, Numar, 515187
Pruni, Total, Cluj, Anul 2016, Numar, 512609
Pruni, Total, Cluj, Anul 2017, Numar, 518922
Pruni, Total, Cluj, Anul 2018, Numar, 520289
Pruni, Total, Cluj, Anul 2019, Numar, 523281
Pruni, Total, Cluj, Anul 2020, Numar, 517921
Pruni, Total, Cluj, Anul 2021, Numar, 516634
Pruni, Total, Cluj, Anul 2022, Numar, 546307
Pruni, Total, Cluj, Anul 2023, Numar, 538319
Pruni, Total, Cluj, Anul 2024, Numar, 546711
Pruni, Total, Maramures, Anul 2000, Numar, 1284812
Pruni, Total, Maramures, Anul 2001, Numar, 1330686
Pruni, Total, Maramures, Anul 2002, Numar, 1389880
Pruni, Total, Maramures, Anul 2003, Numar, 1406118
Pruni, Total, Maramures, Anul 2004, Numar, 1305260
Pruni, Total, Maramures, Anul 2005, Numar, 1310775
Pruni, Total, Maramures, Anul 2006, Numar, 1378001
Pruni, Total, Maramures, Anul 2007, Numar, 1149577
Pruni, Total, Maramures, Anul 2008, Numar, 259146
Pruni, Total, Maramures, Anul 2009, Numar, 334528
Pruni, Total, Maramures, Anul 2010, Numar, 344872
Pruni, Total, Maramures, Anul 2011, Numar, 707866
Pruni, Total, Maramures, Anul 2012, Numar, 753342
Pruni, Total, Maramures, Anul 2013, Numar, 737249
Pruni, Total, Maramures, Anul 2014, Numar, 731544
Pruni, Total, Maramures, Anul 2015, Numar, 748680
Pruni, Total, Maramures, Anul 2016, Numar, 674183
Pruni, Total, Maramures, Anul 2017, Numar, 686742
Pruni, Total, Maramures, Anul 2018, Numar, 705780
Pruni, Total, Maramures, Anul 2019, Numar, 705363
Pruni, Total, Maramures, Anul 2020, Numar, 698054
Pruni, Total, Maramures, Anul 2021, Numar, 702790
Pruni, Total, Maramures, Anul 2022, Numar, 703533
Pruni, Total, Maramures, Anul 2023, Numar, 708289
Pruni, Total, Maramures, Anul 2024, Numar, 697734
Pruni, Total, Satu Mare, Anul 2000, Numar, 1211167
Pruni, Total, Satu Mare, Anul 2001, Numar, 1219228
Pruni, Total, Satu Mare, Anul 2002, Numar, 1302978
Pruni, Total, Satu Mare, Anul 2003, Numar, 1292212
Pruni, Total, Satu Mare, Anul 2004, Numar, 1190272
Pruni, Total, Satu Mare, Anul 2005, Numar, 1328565
Pruni, Total, Satu Mare, Anul 2006, Numar, 1079946
Pruni, Total, Satu Mare, Anul 2007, Numar, 1408448
Pruni, Total, Satu Mare, Anul 2008, Numar, 1220438
Pruni, Total, Satu Mare, Anul 2009, Numar, 1208102
Pruni, Total, Satu Mare, Anul 2010, Numar, 1286834
Pruni, Total, Satu Mare, Anul 2011, Numar, 1155413
Pruni, Total, Satu Mare, Anul 2012, Numar, 1164402
Pruni, Total, Satu Mare, Anul 2013, Numar, 1164706
Pruni, Total, Satu Mare, Anul 2014, Numar, 1159246
Pruni, Total, Satu Mare, Anul 2015, Numar, 1171404
Pruni, Total, Satu Mare, Anul 2016, Numar, 1165073
Pruni, Total, Satu Mare, Anul 2017, Numar, 1164684
Pruni, Total, Satu Mare, Anul 2018, Numar, 1154105
Pruni, Total, Satu Mare, Anul 2019, Numar, 1151187
Pruni, Total, Satu Mare, Anul 2020, Numar, 1156339
Pruni, Total, Satu Mare, Anul 2021, Numar, 1196760
Pruni, Total, Satu Mare, Anul 2022, Numar, 1176730
Pruni, Total, Satu Mare, Anul 2023, Numar, 1229800
Pruni, Total, Satu Mare, Anul 2024, Numar, 1226237
Pruni, Total, Salaj, Anul 2000, Numar, 1328280
Pruni, Total, Salaj, Anul 2001, Numar, 1466472
Pruni, Total, Salaj, Anul 2002, Numar, 1469669
Pruni, Total, Salaj, Anul 2003, Numar, 1477072
Pruni, Total, Salaj, Anul 2004, Numar, 1468687
Pruni, Total, Salaj, Anul 2005, Numar, 1614187
Pruni, Total, Salaj, Anul 2006, Numar, 1238047
Pruni, Total, Salaj, Anul 2007, Numar, 1830340
Pruni, Total, Salaj, Anul 2008, Numar, 1721125
Pruni, Total, Salaj, Anul 2009, Numar, 1737379
Pruni, Total, Salaj, Anul 2010, Numar, 1715031
Pruni, Total, Salaj, Anul 2011, Numar, 1765699
Pruni, Total, Salaj, Anul 2012, Numar, 1785126
Pruni, Total, Salaj, Anul 2013, Numar, 1822229
Pruni, Total, Salaj, Anul 2014, Numar, 1780089
Pruni, Total, Salaj, Anul 2015, Numar, 1700590
Pruni, Total, Salaj, Anul 2016, Numar, 1672716
Pruni, Total, Salaj, Anul 2017, Numar, 1652912
Pruni, Total, Salaj, Anul 2018, Numar, 1663126
Pruni, Total, Salaj, Anul 2019, Numar, 1668719
Pruni, Total, Salaj, Anul 2020, Numar, 1668061
Pruni, Total, Salaj, Anul 2021, Numar, 1678757
Pruni, Total, Salaj, Anul 2022, Numar, 1673452
Pruni, Total, Salaj, Anul 2023, Numar, 1696935
Pruni, Total, Salaj, Anul 2024, Numar, 1687895
Pruni, Total, Alba, Anul 2000, Numar, 832072
Pruni, Total, Alba, Anul 2001, Numar, 799460
Pruni, Total, Alba, Anul 2002, Numar, 809892
Pruni, Total, Alba, Anul 2003, Numar, 811024
Pruni, Total, Alba, Anul 2004, Numar, 882821
Pruni, Total, Alba, Anul 2005, Numar, 864728
Pruni, Total, Alba, Anul 2006, Numar, 1060708
Pruni, Total, Alba, Anul 2007, Numar, 543253
Pruni, Total, Alba, Anul 2008, Numar, 542071
Pruni, Total, Alba, Anul 2009, Numar, 539472
