Categorii de fructe, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Tone, Valoare
Prune, Total, Bihor, Anul 2000, Tone, 15430
Prune, Total, Bihor, Anul 2001, Tone, 12756
Prune, Total, Bihor, Anul 2002, Tone, 6690
Prune, Total, Bihor, Anul 2003, Tone, 20568
Prune, Total, Bihor, Anul 2004, Tone, 15429
Prune, Total, Bihor, Anul 2005, Tone, 16908
Prune, Total, Bihor, Anul 2006, Tone, 10699
Prune, Total, Bihor, Anul 2007, Tone, 9981
Prune, Total, Bihor, Anul 2008, Tone, 8092
Prune, Total, Bihor, Anul 2009, Tone, 21121
Prune, Total, Bihor, Anul 2010, Tone, 9776
Prune, Total, Bihor, Anul 2011, Tone, 19393
Prune, Total, Bihor, Anul 2012, Tone, 11853
Prune, Total, Bihor, Anul 2013, Tone, 13433
Prune, Total, Bihor, Anul 2014, Tone, 14087
Prune, Total, Bihor, Anul 2015, Tone, 15622
Prune, Total, Bihor, Anul 2016, Tone, 9314
Prune, Total, Bihor, Anul 2017, Tone, 11263
Prune, Total, Bihor, Anul 2018, Tone, 19493
Prune, Total, Bihor, Anul 2019, Tone, 15959
Prune, Total, Bihor, Anul 2020, Tone, 14404
Prune, Total, Bihor, Anul 2021, Tone, 18360
Prune, Total, Bihor, Anul 2022, Tone, 22396
Prune, Total, Bihor, Anul 2023, Tone, 21279
Prune, Total, Bihor, Anul 2024, Tone, 19136
Prune, Total, Bistrita-Nasaud, Anul 2000, Tone, 7243
Prune, Total, Bistrita-Nasaud, Anul 2001, Tone, 5493
Prune, Total, Bistrita-Nasaud, Anul 2002, Tone, 3942
Prune, Total, Bistrita-Nasaud, Anul 2003, Tone, 7350
Prune, Total, Bistrita-Nasaud, Anul 2004, Tone, 3085
Prune, Total, Bistrita-Nasaud, Anul 2005, Tone, 12362
Prune, Total, Bistrita-Nasaud, Anul 2006, Tone, 12336
Prune, Total, Bistrita-Nasaud, Anul 2007, Tone, 2666
Prune, Total, Bistrita-Nasaud, Anul 2008, Tone, 5233
Prune, Total, Bistrita-Nasaud, Anul 2009, Tone, 4785
Prune, Total, Bistrita-Nasaud, Anul 2010, Tone, 4461
Prune, Total, Bistrita-Nasaud, Anul 2011, Tone, 7451
Prune, Total, Bistrita-Nasaud, Anul 2012, Tone, 5355
Prune, Total, Bistrita-Nasaud, Anul 2013, Tone, 8122
Prune, Total, Bistrita-Nasaud, Anul 2014, Tone, 10484
Prune, Total, Bistrita-Nasaud, Anul 2015, Tone, 10592
Prune, Total, Bistrita-Nasaud, Anul 2016, Tone, 9704
Prune, Total, Bistrita-Nasaud, Anul 2017, Tone, 7781
Prune, Total, Bistrita-Nasaud, Anul 2018, Tone, 13344
Prune, Total, Bistrita-Nasaud, Anul 2019, Tone, 11397
Prune, Total, Bistrita-Nasaud, Anul 2020, Tone, 12663
Prune, Total, Bistrita-Nasaud, Anul 2021, Tone, 12515
Prune, Total, Bistrita-Nasaud, Anul 2022, Tone, 7613
Prune, Total, Bistrita-Nasaud, Anul 2023, Tone, 8345
Prune, Total, Bistrita-Nasaud, Anul 2024, Tone, 7911
Prune, Total, Cluj, Anul 2000, Tone, 21250
Prune, Total, Cluj, Anul 2001, Tone, 16095
Prune, Total, Cluj, Anul 2002, Tone, 25240
Prune, Total, Cluj, Anul 2003, Tone, 44664
Prune, Total, Cluj, Anul 2004, Tone, 21520
Prune, Total, Cluj, Anul 2005, Tone, 9816
Prune, Total, Cluj, Anul 2006, Tone, 10860
Prune, Total, Cluj, Anul 2007, Tone, 3334
Prune, Total, Cluj, Anul 2008, Tone, 4409
Prune, Total, Cluj, Anul 2009, Tone, 8202
Prune, Total, Cluj, Anul 2010, Tone, 7166
Prune, Total, Cluj, Anul 2011, Tone, 8765
Prune, Total, Cluj, Anul 2012, Tone, 6684
Prune, Total, Cluj, Anul 2013, Tone, 8692
Prune, Total, Cluj, Anul 2014, Tone, 9559
Prune, Total, Cluj, Anul 2015, Tone, 9635
Prune, Total, Cluj, Anul 2016, Tone, 10011
Prune, Total, Cluj, Anul 2017, Tone, 7423
Prune, Total, Cluj, Anul 2018, Tone, 14229
Prune, Total, Cluj, Anul 2019, Tone, 11907
Prune, Total, Cluj, Anul 2020, Tone, 11051
Prune, Total, Cluj, Anul 2021, Tone, 16493
Prune, Total, Cluj, Anul 2022, Tone, 14559
Prune, Total, Cluj, Anul 2023, Tone, 13981
Prune, Total, Cluj, Anul 2024, Tone, 12482
Prune, Total, Maramures, Anul 2000, Tone, 14380
Prune, Total, Maramures, Anul 2001, Tone, 12281
Prune, Total, Maramures, Anul 2002, Tone, 6164
Prune, Total, Maramures, Anul 2003, Tone, 9390
Prune, Total, Maramures, Anul 2004, Tone, 3827
Prune, Total, Maramures, Anul 2005, Tone, 15951
Prune, Total, Maramures, Anul 2006, Tone, 11614
Prune, Total, Maramures, Anul 2007, Tone, 5121
Prune, Total, Maramures, Anul 2008, Tone, 5816
Prune, Total, Maramures, Anul 2009, Tone, 6955
Prune, Total, Maramures, Anul 2010, Tone, 7058
Prune, Total, Maramures, Anul 2011, Tone, 10767
Prune, Total, Maramures, Anul 2012, Tone, 7473
Prune, Total, Maramures, Anul 2013, Tone, 9913
Prune, Total, Maramures, Anul 2014, Tone, 10789
Prune, Total, Maramures, Anul 2015, Tone, 11318
Prune, Total, Maramures, Anul 2016, Tone, 11024
Prune, Total, Maramures, Anul 2017, Tone, 8113
Prune, Total, Maramures, Anul 2018, Tone, 18364
Prune, Total, Maramures, Anul 2019, Tone, 17162
Prune, Total, Maramures, Anul 2020, Tone, 19151
