-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in UTC
Location: Latitude  45.8029   Longitude 24.1586 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 508.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN      CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1984,22.62,20.05,21.97,25.0,27.41,28.98,30.98,30.46,29.11,26.97,23.17,21.96,25.75
ALLSKY_SFC_LW_DWN,1985,18.62,18.72,21.46,26.37,28.93,29.74,30.49,31.12,28.74,25.05,22.51,22.43,25.39
ALLSKY_SFC_LW_DWN,1986,21.57,20.2,22.97,27.16,28.38,30.67,31.48,30.57,28.78,25.36,22.21,21.86,25.97
ALLSKY_SFC_LW_DWN,1987,20.03,21.5,19.55,25.46,28.91,31.43,31.22,30.96,29.24,25.3,23.97,21.63,25.78
ALLSKY_SFC_LW_DWN,1988,22.68,22.72,23.25,25.54,28.39,30.28,31.66,30.5,28.78,24.67,21.81,23.0,26.12
ALLSKY_SFC_LW_DWN,1989,21.8,22.81,24.71,27.23,28.42,29.93,29.57,30.62,28.27,25.48,23.23,23.15,26.29
ALLSKY_SFC_LW_DWN,1990,22.08,23.36,25.72,26.49,26.99,29.0,29.88,29.01,28.26,25.11,23.79,22.03,25.99
ALLSKY_SFC_LW_DWN,1991,22.25,21.62,23.83,25.75,28.15,29.85,31.36,29.45,27.26,26.69,23.12,21.83,25.96
ALLSKY_SFC_LW_DWN,1992,21.7,21.26,22.91,26.52,26.92,29.42,28.97,29.47,26.63,26.2,24.49,21.07,25.47
ALLSKY_SFC_LW_DWN,1993,22.64,20.83,22.26,25.07,27.86,29.3,29.42,29.76,27.61,27.27,21.88,23.14,25.62
ALLSKY_SFC_LW_DWN,1994,22.97,22.0,24.44,26.17,28.39,28.98,30.47,29.67,28.89,25.65,23.52,21.94,26.12
ALLSKY_SFC_LW_DWN,1995,21.05,23.68,24.15,27.1,28.59,29.87,29.65,29.82,28.17,24.7,22.52,22.01,25.95
ALLSKY_SFC_LW_DWN,1996,20.82,20.83,20.79,24.75,29.37,29.24,29.72,29.93,28.77,25.76,24.51,23.32,25.67
ALLSKY_SFC_LW_DWN,1997,22.54,22.28,22.55,23.79,27.84,29.58,29.89,29.73,26.69,25.23,23.73,23.12,25.6
ALLSKY_SFC_LW_DWN,1998,23.04,23.2,22.2,25.85,28.56,29.89,30.17,29.16,27.87,26.06,22.57,20.98,25.81
ALLSKY_SFC_LW_DWN,1999,23.09,22.22,23.94,26.18,26.69,29.51,30.13,30.6,27.91,26.21,23.3,22.97,26.09
ALLSKY_SFC_LW_DWN,2000,20.3,21.69,23.24,27.22,26.85,28.91,29.92,30.12,27.52,25.59,24.27,24.02,25.81
ALLSKY_SFC_LW_DWN,2001,22.25,22.73,24.49,25.22,27.74,29.55,30.68,30.32,28.49,25.92,23.45,20.74,25.98
ALLSKY_SFC_LW_DWN,2002,21.47,22.44,23.42,26.28,27.63,30.12,31.45,30.01,28.59,25.68,24.19,21.92,26.12
ALLSKY_SFC_LW_DWN,2003,22.16,19.76,22.35,24.49,27.98,30.1,31.14,30.17,27.32,25.91,24.39,21.66,25.66
ALLSKY_SFC_LW_DWN,2004,21.96,22.45,23.8,25.27,27.46,29.38,30.26,29.83,28.01,25.81,24.5,23.3,26.01
ALLSKY_SFC_LW_DWN,2005,22.05,21.77,22.62,25.61,28.3,28.69,30.08,30.48,28.19,25.31,23.6,22.91,25.83
