-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in UTC
Location: Latitude  46.5554   Longitude 26.8997 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 404.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN      CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1984,23.67,21.9,23.12,26.42,29.67,30.87,32.63,31.71,31.22,28.8,24.55,22.63,27.28
ALLSKY_SFC_LW_DWN,1985,19.56,18.75,22.83,27.45,30.69,31.05,32.6,32.19,30.11,26.28,24.3,24.52,26.74
ALLSKY_SFC_LW_DWN,1986,23.04,20.37,24.11,27.92,29.29,32.4,33.01,32.65,30.71,26.61,23.52,22.74,27.24
ALLSKY_SFC_LW_DWN,1987,20.68,22.23,20.98,26.28,30.35,32.72,33.44,33.09,30.96,27.17,25.28,22.09,27.13
ALLSKY_SFC_LW_DWN,1988,23.24,22.66,23.81,26.96,30.29,32.07,33.99,32.52,30.08,25.77,21.8,22.62,27.17
ALLSKY_SFC_LW_DWN,1989,23.27,23.55,25.08,27.79,29.15,31.29,30.93,32.41,29.28,27.12,23.78,23.82,27.31
ALLSKY_SFC_LW_DWN,1990,22.79,24.18,25.41,27.8,28.55,31.05,31.48,30.99,29.22,26.55,25.38,23.05,27.22
ALLSKY_SFC_LW_DWN,1991,23.24,22.15,24.87,27.23,29.18,32.38,33.09,31.43,28.6,27.89,24.29,22.3,27.25
ALLSKY_SFC_LW_DWN,1992,22.46,22.26,24.06,27.56,28.08,31.74,31.12,32.26,28.15,27.58,24.92,21.79,26.84
ALLSKY_SFC_LW_DWN,1993,23.22,21.98,23.17,26.33,29.5,30.48,32.02,31.67,29.13,28.41,21.8,23.97,26.84
ALLSKY_SFC_LW_DWN,1994,24.45,23.86,24.81,27.23,30.06,30.88,32.26,31.4,30.34,26.5,24.72,22.92,27.47
ALLSKY_SFC_LW_DWN,1995,22.25,24.34,25.29,27.57,29.19,31.97,31.42,32.25,29.01,25.99,22.87,22.2,27.04
ALLSKY_SFC_LW_DWN,1996,21.89,21.17,21.44,26.2,30.35,30.68,31.25,31.81,29.32,27.07,26.33,24.1,26.82
ALLSKY_SFC_LW_DWN,1997,22.03,22.98,23.4,25.38,29.46,31.19,31.67,31.59,27.72,25.91,24.57,23.33,26.63
ALLSKY_SFC_LW_DWN,1998,23.83,24.55,23.28,27.9,30.35,31.64,32.27,30.74,28.84,27.19,23.08,21.74,27.13
ALLSKY_SFC_LW_DWN,1999,23.43,22.74,25.17,27.69,28.25,31.48,32.1,31.99,29.66,28.06,24.33,23.9,27.43
ALLSKY_SFC_LW_DWN,2000,21.5,23.44,24.42,28.7,27.91,31.05,31.78,31.58,29.38,26.67,26.1,24.81,27.28
ALLSKY_SFC_LW_DWN,2001,23.15,23.59,25.62,25.96,28.78,31.16,32.65,32.32,29.99,26.9,24.25,21.16,27.15
ALLSKY_SFC_LW_DWN,2002,22.28,23.71,24.16,27.35,29.13,31.37,33.48,31.59,30.24,26.86,25.75,22.23,27.36
ALLSKY_SFC_LW_DWN,2003,23.18,21.53,23.67,25.72,29.81,31.49,32.65,31.67,28.52,26.48,25.85,23.12,27.01
ALLSKY_SFC_LW_DWN,2004,22.77,23.43,25.04,25.82,28.86,30.7,32.17,31.26,29.35,26.89,25.61,23.77,27.15
ALLSKY_SFC_LW_DWN,2005,23.03,22.89,23.2,26.6,29.41,30.25,32.07,32.28,29.21,26.76,25.1,23.52,27.05
