-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in UTC
Location: Latitude  47.1645   Longitude 24.5248 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 542.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN      CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1984,21.69,19.95,22.59,25.35,28.51,28.89,31.55,29.65,29.72,27.32,23.77,21.96,25.93
ALLSKY_SFC_LW_DWN,1985,17.45,17.32,22.25,26.36,28.79,29.16,30.82,30.44,28.88,25.23,23.35,23.7,25.36
ALLSKY_SFC_LW_DWN,1986,20.56,19.8,23.62,27.7,27.7,30.52,30.79,30.63,28.73,24.8,22.8,21.29,25.77
ALLSKY_SFC_LW_DWN,1987,18.6,21.33,19.82,25.34,28.38,29.84,31.05,29.91,28.79,24.77,24.09,21.12,25.27
ALLSKY_SFC_LW_DWN,1988,22.92,22.61,23.39,25.42,28.19,30.08,31.85,30.21,28.91,24.45,20.39,21.6,25.85
ALLSKY_SFC_LW_DWN,1989,21.72,22.91,24.58,27.42,27.59,29.64,29.51,30.21,27.71,26.25,22.43,23.4,26.13
ALLSKY_SFC_LW_DWN,1990,22.29,23.73,25.16,26.87,27.42,28.81,29.14,29.04,27.84,25.09,23.81,22.26,25.96
ALLSKY_SFC_LW_DWN,1991,22.7,21.74,25.14,25.9,27.36,30.33,31.04,29.71,27.06,26.57,23.18,21.2,26.02
ALLSKY_SFC_LW_DWN,1992,21.33,20.93,23.01,26.37,26.71,29.5,28.94,30.04,26.45,25.97,24.04,21.4,25.4
ALLSKY_SFC_LW_DWN,1993,21.92,20.71,22.25,25.56,27.48,29.04,29.87,29.73,27.55,26.23,21.43,22.78,25.41
ALLSKY_SFC_LW_DWN,1994,23.04,22.55,24.5,26.41,28.39,28.77,30.06,29.69,28.91,24.83,23.13,22.15,26.06
ALLSKY_SFC_LW_DWN,1995,20.76,23.57,24.17,26.13,28.55,29.99,29.85,29.97,27.56,24.21,22.2,22.1,25.77
ALLSKY_SFC_LW_DWN,1996,20.69,20.2,20.78,25.42,29.0,28.86,29.37,29.67,27.27,25.83,25.3,23.35,25.49
ALLSKY_SFC_LW_DWN,1997,21.55,21.88,22.29,24.26,28.32,29.57,29.69,29.3,26.53,24.6,23.71,22.58,25.38
ALLSKY_SFC_LW_DWN,1998,23.14,23.98,21.68,26.05,28.21,29.93,30.15,28.83,27.27,25.83,22.35,21.2,25.72
ALLSKY_SFC_LW_DWN,1999,22.93,21.37,23.25,26.15,26.44,30.06,30.72,30.01,27.56,26.54,22.73,22.8,25.91
ALLSKY_SFC_LW_DWN,2000,19.95,21.77,22.76,26.98,27.01,29.37,30.09,29.62,27.11,25.63,24.22,23.94,25.71
ALLSKY_SFC_LW_DWN,2001,21.92,22.29,25.13,25.15,27.29,29.31,30.55,29.98,28.37,25.74,23.68,20.14,25.82
ALLSKY_SFC_LW_DWN,2002,21.08,22.83,22.89,26.02,28.38,29.71,31.72,29.77,28.82,26.38,24.68,21.09,26.13
ALLSKY_SFC_LW_DWN,2003,21.55,19.55,22.43,24.69,28.12,29.81,30.83,29.34,27.17,25.77,24.08,21.86,25.47
ALLSKY_SFC_LW_DWN,2004,21.25,22.83,23.79,25.03,27.59,29.06,30.65,29.69,27.74,25.39,24.57,23.33,25.92
ALLSKY_SFC_LW_DWN,2005,21.89,21.33,22.24,25.5,28.06,28.9,30.13,30.48,27.37,25.13,23.18,23.02,25.63
