-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in UTC
Location: Latitude  44.4491   Longitude 26.1087 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 76.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN      CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1984,24.65,22.54,24.55,27.04,30.13,32.28,33.85,33.33,32.67,30.17,25.98,23.02,28.37
ALLSKY_SFC_LW_DWN,1985,20.84,19.77,23.02,28.34,31.01,31.74,32.72,32.91,30.36,26.09,25.74,25.96,27.42
ALLSKY_SFC_LW_DWN,1986,24.29,21.92,25.09,28.82,30.15,33.12,32.91,32.94,31.05,27.58,24.02,23.36,27.97
ALLSKY_SFC_LW_DWN,1987,22.32,22.8,22.1,27.24,30.6,33.43,33.71,32.45,31.87,28.21,25.97,24.12,27.92
ALLSKY_SFC_LW_DWN,1988,24.37,24.33,25.13,27.08,30.09,32.78,34.39,33.0,31.23,26.59,22.77,23.97,27.99
ALLSKY_SFC_LW_DWN,1989,23.43,23.57,26.34,28.67,29.96,32.13,32.88,32.57,30.47,27.34,24.88,24.0,28.04
ALLSKY_SFC_LW_DWN,1990,22.47,24.25,26.46,28.12,29.59,31.9,32.75,31.84,30.51,27.64,27.54,24.78,28.17
ALLSKY_SFC_LW_DWN,1991,23.45,22.43,25.26,27.26,28.95,32.79,34.0,32.57,29.53,29.33,25.79,22.62,27.86
ALLSKY_SFC_LW_DWN,1992,23.0,22.63,25.12,27.63,28.74,32.3,32.49,32.93,29.29,29.37,25.82,22.29,27.65
ALLSKY_SFC_LW_DWN,1993,23.72,21.89,23.36,26.55,30.5,32.64,32.13,32.27,29.33,29.8,22.77,23.81,27.44
ALLSKY_SFC_LW_DWN,1994,24.81,23.87,26.13,28.15,30.49,31.83,33.37,32.6,31.86,28.05,24.43,23.58,28.29
ALLSKY_SFC_LW_DWN,1995,22.76,24.97,25.2,27.6,30.26,32.57,32.94,32.28,30.47,26.96,23.45,22.54,27.68
ALLSKY_SFC_LW_DWN,1996,22.43,21.98,22.53,26.71,31.21,31.86,32.18,32.63,30.04,27.61,25.87,24.74,27.5
ALLSKY_SFC_LW_DWN,1997,22.71,23.09,24.1,25.78,29.46,32.33,32.88,32.38,28.16,26.11,25.34,24.68,27.28
ALLSKY_SFC_LW_DWN,1998,24.27,24.2,24.79,28.52,31.49,32.29,33.15,31.71,30.31,28.24,23.93,21.5,27.89
ALLSKY_SFC_LW_DWN,1999,24.06,23.35,25.98,28.68,29.4,32.32,33.19,33.57,30.33,28.58,24.57,25.05,28.29
ALLSKY_SFC_LW_DWN,2000,21.72,23.83,24.67,29.87,29.39,31.78,32.7,32.47,30.52,28.14,26.61,25.24,28.08
ALLSKY_SFC_LW_DWN,2001,24.46,24.36,26.25,27.05,29.8,31.99,33.63,33.29,30.8,27.86,24.74,22.62,28.1
ALLSKY_SFC_LW_DWN,2002,23.01,23.68,25.68,27.84,29.33,32.9,34.48,32.72,31.17,27.79,26.41,23.28,28.21
ALLSKY_SFC_LW_DWN,2003,23.78,22.07,24.37,25.95,30.22,32.59,33.75,33.57,29.67,27.57,26.42,23.89,27.86
ALLSKY_SFC_LW_DWN,2004,23.74,23.4,25.7,26.82,29.38,32.03,32.79,32.61,30.21,28.27,25.83,24.16,27.93
ALLSKY_SFC_LW_DWN,2005,23.77,24.14,24.61,27.3,30.58,31.06,33.06,33.11,30.95,27.22,25.82,23.94,27.99
