-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in UTC
Location: Latitude  45.7538   Longitude 21.2051 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 121.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN      CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_LW_DWN,1984,23.99,23.24,24.24,26.46,30.34,30.9,33.46,32.57,32.25,29.13,25.16,23.54,27.96
ALLSKY_SFC_LW_DWN,1985,20.91,20.57,23.98,28.2,30.42,30.79,32.28,32.41,29.87,27.43,25.43,25.2,27.33
ALLSKY_SFC_LW_DWN,1986,23.63,21.97,25.0,28.83,30.27,32.39,33.19,32.52,30.67,26.49,24.41,23.12,27.74
ALLSKY_SFC_LW_DWN,1987,22.31,22.91,22.56,26.76,29.69,32.33,33.07,32.02,31.5,27.73,25.6,24.56,27.61
ALLSKY_SFC_LW_DWN,1988,24.61,24.46,24.94,27.69,30.06,31.38,33.53,32.33,30.37,26.43,22.47,23.87,27.69
ALLSKY_SFC_LW_DWN,1989,22.4,24.67,26.2,28.89,29.6,31.02,32.15,33.06,30.4,26.7,24.59,24.57,27.87
ALLSKY_SFC_LW_DWN,1990,22.81,24.65,26.79,27.79,29.6,31.19,31.25,31.07,29.68,27.64,26.11,23.94,27.72
ALLSKY_SFC_LW_DWN,1991,23.04,22.83,26.05,26.15,29.49,31.75,33.69,31.55,29.4,28.2,24.8,22.32,27.47
ALLSKY_SFC_LW_DWN,1992,22.99,23.84,24.62,27.45,28.86,31.87,31.39,33.11,28.8,28.41,25.44,22.85,27.48
ALLSKY_SFC_LW_DWN,1993,23.27,22.22,23.63,26.68,29.86,31.24,32.51,32.23,30.06,27.97,24.1,24.56,27.4
ALLSKY_SFC_LW_DWN,1994,24.68,25.0,25.85,28.07,30.37,31.21,32.58,31.99,31.9,26.56,25.01,24.1,28.12
ALLSKY_SFC_LW_DWN,1995,23.06,25.11,25.14,27.88,30.05,31.72,32.1,31.93,29.67,25.85,24.35,23.93,27.58
ALLSKY_SFC_LW_DWN,1996,22.73,21.67,23.05,27.56,31.1,31.5,31.19,32.17,29.91,27.37,26.67,24.58,27.47
ALLSKY_SFC_LW_DWN,1997,23.29,23.81,23.78,25.28,29.93,31.68,32.05,31.27,27.72,26.34,25.82,24.99,27.19
ALLSKY_SFC_LW_DWN,1998,24.34,24.26,23.74,28.32,30.45,32.67,32.93,31.28,30.16,27.87,24.26,22.4,27.74
ALLSKY_SFC_LW_DWN,1999,24.04,23.25,25.96,28.28,29.33,32.31,32.41,32.04,30.48,28.1,24.38,24.23,27.93
ALLSKY_SFC_LW_DWN,2000,22.28,23.77,25.07,28.74,29.27,30.97,32.11,32.29,30.25,29.04,26.68,24.5,27.92
ALLSKY_SFC_LW_DWN,2001,24.42,23.86,27.09,27.26,29.59,31.29,32.86,32.8,29.95,28.09,24.77,22.55,27.91
ALLSKY_SFC_LW_DWN,2002,23.05,24.94,24.97,27.62,30.55,31.93,33.83,32.84,30.72,27.83,26.54,24.31,28.28
ALLSKY_SFC_LW_DWN,2003,23.4,21.36,23.66,26.52,30.43,32.81,33.41,32.67,29.36,27.3,25.55,23.07,27.5
ALLSKY_SFC_LW_DWN,2004,23.51,24.09,25.5,28.14,28.98,31.36,32.79,31.91,29.8,28.57,25.56,24.85,27.93
ALLSKY_SFC_LW_DWN,2005,23.41,22.89,24.69,27.13,29.74,30.49,32.45,32.66,30.85,27.17,24.91,24.85,27.64
