Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1961","1961","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1961","1961","kg/ha","6952.4","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1961","1961","t","146000","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1962","1962","ha","19000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1962","1962","kg/ha","6947.4","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1962","1962","t","132000","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1963","1963","ha","10500","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1963","1963","kg/ha","18857.1","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1963","1963","t","198000","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1964","1964","ha","18100","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1964","1964","kg/ha","7016.6","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1964","1964","t","127000","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1965","1965","ha","31000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1965","1965","kg/ha","7000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1965","1965","t","217000","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1966","1966","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1966","1966","t","233700","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1967","1967","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1967","1967","t","234200","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1968","1968","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1968","1968","t","221800","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1969","1969","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1969","1969","t","366700","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1970","1970","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1970","1970","t","175836","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1971","1971","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1971","1971","t","252700","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1972","1972","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1972","1972","t","247500","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1973","1973","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1973","1973","t","288400","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1974","1974","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1974","1974","t","240517","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1975","1975","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1975","1975","t","314919","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1976","1976","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1976","1976","t","469717","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1977","1977","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1977","1977","t","593444","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1978","1978","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1978","1978","t","359415","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1979","1979","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1979","1979","t","593963","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1980","1980","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1980","1980","t","391500","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1981","1981","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1981","1981","t","525389","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1982","1982","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1982","1982","t","744835","A","Official figure",""
