An,Judet,Specie_Pomi,Nr_Pomi,Tone_Totale,Kg_per_Pom
 Anul 2000, Bihor,Meri,1719436,15430,10
 Anul 2000, Bihor,Meri,1719436,15430,7
 Anul 2000, Bihor,Meri,1719436,15430,9
 Anul 2000, Bihor,Meri,1719436,15430,9
 Anul 2000, Bihor,Meri,1719436,15430,8
 Anul 2000, Bihor,Meri,1719436,15430,12
 Anul 2000, Bihor,Meri,1719436,12260,10
 Anul 2000, Bihor,Meri,1719436,12260,7
 Anul 2000, Bihor,Meri,1719436,12260,9
 Anul 2000, Bihor,Meri,1719436,12260,9
 Anul 2000, Bihor,Meri,1719436,12260,8
 Anul 2000, Bihor,Meri,1719436,12260,12
 Anul 2000, Bihor,Meri,1719436,2033,10
 Anul 2000, Bihor,Meri,1719436,2033,7
 Anul 2000, Bihor,Meri,1719436,2033,9
 Anul 2000, Bihor,Meri,1719436,2033,9
 Anul 2000, Bihor,Meri,1719436,2033,8
 Anul 2000, Bihor,Meri,1719436,2033,12
 Anul 2000, Bihor,Meri,1719436,4694,10
 Anul 2000, Bihor,Meri,1719436,4694,7
 Anul 2000, Bihor,Meri,1719436,4694,9
 Anul 2000, Bihor,Meri,1719436,4694,9
 Anul 2000, Bihor,Meri,1719436,4694,8
 Anul 2000, Bihor,Meri,1719436,4694,12
 Anul 2000, Bihor,Meri,1719436,1897,10
 Anul 2000, Bihor,Meri,1719436,1897,7
 Anul 2000, Bihor,Meri,1719436,1897,9
 Anul 2000, Bihor,Meri,1719436,1897,9
 Anul 2000, Bihor,Meri,1719436,1897,8
 Anul 2000, Bihor,Meri,1719436,1897,12
 Anul 2000, Bihor,Meri,1719436,991,10
 Anul 2000, Bihor,Meri,1719436,991,7
 Anul 2000, Bihor,Meri,1719436,991,9
 Anul 2000, Bihor,Meri,1719436,991,9
 Anul 2000, Bihor,Meri,1719436,991,8
 Anul 2000, Bihor,Meri,1719436,991,12
 Anul 2001, Bihor,Meri,1668290,12756,8
 Anul 2001, Bihor,Meri,1668290,12756,7
 Anul 2001, Bihor,Meri,1668290,12756,9
 Anul 2001, Bihor,Meri,1668290,12756,8
 Anul 2001, Bihor,Meri,1668290,12756,7
 Anul 2001, Bihor,Meri,1668290,12756,11
 Anul 2001, Bihor,Meri,1668290,12680,8
 Anul 2001, Bihor,Meri,1668290,12680,7
 Anul 2001, Bihor,Meri,1668290,12680,9
 Anul 2001, Bihor,Meri,1668290,12680,8
 Anul 2001, Bihor,Meri,1668290,12680,7
 Anul 2001, Bihor,Meri,1668290,12680,11
 Anul 2001, Bihor,Meri,1668290,2128,8
 Anul 2001, Bihor,Meri,1668290,2128,7
 Anul 2001, Bihor,Meri,1668290,2128,9
 Anul 2001, Bihor,Meri,1668290,2128,8
 Anul 2001, Bihor,Meri,1668290,2128,7
 Anul 2001, Bihor,Meri,1668290,2128,11
 Anul 2001, Bihor,Meri,1668290,3595,8
 Anul 2001, Bihor,Meri,1668290,3595,7
 Anul 2001, Bihor,Meri,1668290,3595,9
 Anul 2001, Bihor,Meri,1668290,3595,8
 Anul 2001, Bihor,Meri,1668290,3595,7
 Anul 2001, Bihor,Meri,1668290,3595,11
 Anul 2001, Bihor,Meri,1668290,1437,8
 Anul 2001, Bihor,Meri,1668290,1437,7
 Anul 2001, Bihor,Meri,1668290,1437,9
 Anul 2001, Bihor,Meri,1668290,1437,8
 Anul 2001, Bihor,Meri,1668290,1437,7
 Anul 2001, Bihor,Meri,1668290,1437,11
 Anul 2001, Bihor,Meri,1668290,899,8
 Anul 2001, Bihor,Meri,1668290,899,7
 Anul 2001, Bihor,Meri,1668290,899,9
 Anul 2001, Bihor,Meri,1668290,899,8
 Anul 2001, Bihor,Meri,1668290,899,7
 Anul 2001, Bihor,Meri,1668290,899,11
 Anul 2002, Bihor,Meri,1505160,6690,5
 Anul 2002, Bihor,Meri,1505160,6690,11
 Anul 2002, Bihor,Meri,1505160,6690,14
 Anul 2002, Bihor,Meri,1505160,6690,8
 Anul 2002, Bihor,Meri,1505160,6690,7
 Anul 2002, Bihor,Meri,1505160,6690,15
 Anul 2002, Bihor,Meri,1505160,16020,5
 Anul 2002, Bihor,Meri,1505160,16020,11
 Anul 2002, Bihor,Meri,1505160,16020,14
 Anul 2002, Bihor,Meri,1505160,16020,8
 Anul 2002, Bihor,Meri,1505160,16020,7
 Anul 2002, Bihor,Meri,1505160,16020,15
 Anul 2002, Bihor,Meri,1505160,2978,5
 Anul 2002, Bihor,Meri,1505160,2978,11
 Anul 2002, Bihor,Meri,1505160,2978,14
 Anul 2002, Bihor,Meri,1505160,2978,8
 Anul 2002, Bihor,Meri,1505160,2978,7
 Anul 2002, Bihor,Meri,1505160,2978,15
 Anul 2002, Bihor,Meri,1505160,4103,5
 Anul 2002, Bihor,Meri,1505160,4103,11
 Anul 2002, Bihor,Meri,1505160,4103,14
 Anul 2002, Bihor,Meri,1505160,4103,8
 Anul 2002, Bihor,Meri,1505160,4103,7
 Anul 2002, Bihor,Meri,1505160,4103,15
 Anul 2002, Bihor,Meri,1505160,1337,5
 Anul 2002, Bihor,Meri,1505160,1337,11
 Anul 2002, Bihor,Meri,1505160,1337,14
 Anul 2002, Bihor,Meri,1505160,1337,8
 Anul 2002, Bihor,Meri,1505160,1337,7
 Anul 2002, Bihor,Meri,1505160,1337,15
 Anul 2002, Bihor,Meri,1505160,1217,5
 Anul 2002, Bihor,Meri,1505160,1217,11
 Anul 2002, Bihor,Meri,1505160,1217,14
 Anul 2002, Bihor,Meri,1505160,1217,8
 Anul 2002, Bihor,Meri,1505160,1217,7
 Anul 2002, Bihor,Meri,1505160,1217,15
 Anul 2003, Bihor,Meri,1647963,20568,11
 Anul 2003, Bihor,Meri,1647963,20568,9
 Anul 2003, Bihor,Meri,1647963,20568,15
 Anul 2003, Bihor,Meri,1647963,20568,4
 Anul 2003, Bihor,Meri,1647963,20568,9
 Anul 2003, Bihor,Meri,1647963,20568,15
 Anul 2003, Bihor,Meri,1647963,15243,11
 Anul 2003, Bihor,Meri,1647963,15243,9
 Anul 2003, Bihor,Meri,1647963,15243,15
 Anul 2003, Bihor,Meri,1647963,15243,4
 Anul 2003, Bihor,Meri,1647963,15243,9
 Anul 2003, Bihor,Meri,1647963,15243,15
 Anul 2003, Bihor,Meri,1647963,3249,11
 Anul 2003, Bihor,Meri,1647963,3249,9
 Anul 2003, Bihor,Meri,1647963,3249,15
 Anul 2003, Bihor,Meri,1647963,3249,4
 Anul 2003, Bihor,Meri,1647963,3249,9
 Anul 2003, Bihor,Meri,1647963,3249,15
 Anul 2003, Bihor,Meri,1647963,1958,11
 Anul 2003, Bihor,Meri,1647963,1958,9
 Anul 2003, Bihor,Meri,1647963,1958,15
 Anul 2003, Bihor,Meri,1647963,1958,4
