PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,regiune
ALLSKY_SFC_LW_DWN,1984,22.62,20.05,21.97,25.0,27.41,28.98,30.98,30.46,29.11,26.97,23.17,21.96,25.75,centru
ALLSKY_SFC_LW_DWN,1985,18.62,18.72,21.46,26.37,28.93,29.74,30.49,31.12,28.74,25.05,22.51,22.43,25.39,centru
ALLSKY_SFC_LW_DWN,1986,21.57,20.2,22.97,27.16,28.38,30.67,31.48,30.57,28.78,25.36,22.21,21.86,25.97,centru
ALLSKY_SFC_LW_DWN,1987,20.03,21.5,19.55,25.46,28.91,31.43,31.22,30.96,29.24,25.3,23.97,21.63,25.78,centru
ALLSKY_SFC_LW_DWN,1988,22.68,22.72,23.25,25.54,28.39,30.28,31.66,30.5,28.78,24.67,21.81,23.0,26.12,centru
ALLSKY_SFC_LW_DWN,1989,21.8,22.81,24.71,27.23,28.42,29.93,29.57,30.62,28.27,25.48,23.23,23.15,26.29,centru
ALLSKY_SFC_LW_DWN,1990,22.08,23.36,25.72,26.49,26.99,29.0,29.88,29.01,28.26,25.11,23.79,22.03,25.99,centru
ALLSKY_SFC_LW_DWN,1991,22.25,21.62,23.83,25.75,28.15,29.85,31.36,29.45,27.26,26.69,23.12,21.83,25.96,centru
ALLSKY_SFC_LW_DWN,1992,21.7,21.26,22.91,26.52,26.92,29.42,28.97,29.47,26.63,26.2,24.49,21.07,25.47,centru
ALLSKY_SFC_LW_DWN,1993,22.64,20.83,22.26,25.07,27.86,29.3,29.42,29.76,27.61,27.27,21.88,23.14,25.62,centru
ALLSKY_SFC_LW_DWN,1994,22.97,22.0,24.44,26.17,28.39,28.98,30.47,29.67,28.89,25.65,23.52,21.94,26.12,centru
ALLSKY_SFC_LW_DWN,1995,21.05,23.68,24.15,27.1,28.59,29.87,29.65,29.82,28.17,24.7,22.52,22.01,25.95,centru
ALLSKY_SFC_LW_DWN,1996,20.82,20.83,20.79,24.75,29.37,29.24,29.72,29.93,28.77,25.76,24.51,23.32,25.67,centru
ALLSKY_SFC_LW_DWN,1997,22.54,22.28,22.55,23.79,27.84,29.58,29.89,29.73,26.69,25.23,23.73,23.12,25.6,centru
ALLSKY_SFC_LW_DWN,1998,23.04,23.2,22.2,25.85,28.56,29.89,30.17,29.16,27.87,26.06,22.57,20.98,25.81,centru
ALLSKY_SFC_LW_DWN,1999,23.09,22.22,23.94,26.18,26.69,29.51,30.13,30.6,27.91,26.21,23.3,22.97,26.09,centru
ALLSKY_SFC_LW_DWN,2000,20.3,21.69,23.24,27.22,26.85,28.91,29.92,30.12,27.52,25.59,24.27,24.02,25.81,centru
ALLSKY_SFC_LW_DWN,2001,22.25,22.73,24.49,25.22,27.74,29.55,30.68,30.32,28.49,25.92,23.45,20.74,25.98,centru
ALLSKY_SFC_LW_DWN,2002,21.47,22.44,23.42,26.28,27.63,30.12,31.45,30.01,28.59,25.68,24.19,21.92,26.12,centru
ALLSKY_SFC_LW_DWN,2003,22.16,19.76,22.35,24.49,27.98,30.1,31.14,30.17,27.32,25.91,24.39,21.66,25.66,centru
ALLSKY_SFC_LW_DWN,2004,21.96,22.45,23.8,25.27,27.46,29.38,30.26,29.83,28.01,25.81,24.5,23.3,26.01,centru
ALLSKY_SFC_LW_DWN,2005,22.05,21.77,22.62,25.61,28.3,28.69,30.08,30.48,28.19,25.31,23.6,22.91,25.83,centru
ALLSKY_SFC_LW_DWN,2006,21.33,22.3,24.18,26.87,27.75,29.9,29.96,29.72,28.18,25.72,24.39,23.31,26.15,centru
ALLSKY_SFC_LW_DWN,2007,23.26,23.65,23.79,25.21,28.25,29.39,29.65,30.46,27.5,26.08,23.65,22.98,26.17,centru
ALLSKY_SFC_LW_DWN,2008,22.07,22.46,23.93,26.22,27.8,29.17,29.53,29.42,27.69,25.53,22.69,22.57,25.77,centru
ALLSKY_SFC_LW_DWN,2009,22.04,22.24,23.59,24.58,27.59,28.68,29.45,30.25,27.57,26.21,24.17,23.12,25.82,centru
ALLSKY_SFC_LW_DWN,2010,21.7,22.57,23.0,25.74,27.99,29.88,30.79,30.05,27.79,24.38,24.26,22.51,25.91,centru
ALLSKY_SFC_LW_DWN,2011,21.91,21.86,23.02,25.0,27.55,29.26,29.98,28.77,27.54,23.96,21.55,22.64,25.27,centru
ALLSKY_SFC_LW_DWN,2012,21.19,20.45,22.51,25.82,28.61,29.16,30.46,29.34,27.23,25.53,23.65,22.14,25.53,centru
ALLSKY_SFC_LW_DWN,2013,21.7,23.19,23.48,25.47,27.7,29.91,29.54,30.44,27.15,24.78,24.2,21.66,25.78,centru
ALLSKY_SFC_LW_DWN,2014,22.34,22.96,23.57,26.39,27.54,29.09,30.42,29.36,27.18,25.72,23.86,22.53,25.93,centru
ALLSKY_SFC_LW_DWN,2015,22.51,21.95,23.25,24.53,27.91,28.95,30.07,29.84,28.83,25.27,23.83,22.23,25.79,centru
ALLSKY_SFC_LW_DWN,2016,21.38,23.34,23.99,25.99,27.69,30.11,30.09,29.72,27.79,25.62,22.94,21.4,25.84,centru
ALLSKY_SFC_LW_DWN,2017,20.21,22.63,23.82,25.02,28.08,29.28,29.85,29.51,27.71,24.71,24.54,23.0,25.71,centru
ALLSKY_SFC_LW_DWN,2018,22.25,22.66,24.01,25.95,27.9,29.92,30.46,29.71,27.7,24.59,23.65,22.67,25.97,centru
ALLSKY_SFC_LW_DWN,2019,21.85,21.97,22.89,25.77,28.18,29.92,29.78,29.55,27.12,24.88,25.23,22.52,25.82,centru
ALLSKY_SFC_LW_DWN,2020,21.88,22.92,23.83,23.44,27.48,29.94,30.06,29.37,28.05,26.43,23.62,23.38,25.88,centru
