Specie,Judet,An,Numar_Pomi,Kg_pe_Pom,Tone_Totale,Rootstock_ID,lat,lon,puncte_valide,phh2o,clay,sand,silt,soc,nitrogen,cec,temp_medie_an,temp_min_an,temp_max_an,precipitatii_an,zile_inghet_an,radiatie_an,par_an,umiditate_an,evapotrans_an,cdd10_an,cdd0_an,hdd0_an,vant_an,umid_sol_sup_an,umid_sol_rad_an,temp_medie_iarna,temp_min_iarna,temp_max_iarna,precipitatii_iarna,zile_inghet_iarna,radiatie_iarna,umiditate_iarna,evapotrans_iarna,cdd10_iarna,umid_sol_sup_iarna,umid_sol_rad_iarna,temp_medie_primavara,temp_min_primavara,temp_max_primavara,precipitatii_primavara,zile_inghet_primavara,radiatie_primavara,umiditate_primavara,evapotrans_primavara,cdd10_primavara,umid_sol_sup_primavara,umid_sol_rad_primavara,temp_medie_vara,temp_min_vara,temp_max_vara,precipitatii_vara,zile_inghet_vara,radiatie_vara,umiditate_vara,evapotrans_vara,cdd10_vara,umid_sol_sup_vara,umid_sol_rad_vara,temp_medie_toamna,temp_min_toamna,temp_max_toamna,precipitatii_toamna,zile_inghet_toamna,radiatie_toamna,umiditate_toamna,evapotrans_toamna,cdd10_toamna,umid_sol_sup_toamna,umid_sol_rad_toamna
Mere,Alba,2000,874496.0,8.0,6759.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.66,-20.17,37.89,253.6,104.0,4795.2,2329.6,62.2,61.5,1695.6,4306.7,270.8,1.88,0.425,0.47,-3.55,-20.17,11.59,30.0,56.0,404.5,85.05,0.1,0.0,0.56,0.549,10.5,-6.88,29.95,85.4,28.0,1510.8,65.23,51.9,307.2,0.542,0.537,21.88,5.53,37.89,79.9,0.0,1909.9,41.92,8.5,1072.4,0.327,0.421,11.76,-2.07,31.25,38.0,5.0,857.8,59.71,0.9,316.0,0.331,0.415
Mere,Alba,2001,828878.0,12.0,9728.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,9.78,-18.48,36.33,519.0,115.0,4323.0,1909.2,68.04,121.7,1498.9,4004.0,320.2,1.87,0.466,0.477,0.32,-11.99,17.43,37.0,43.0,350.5,76.3,0.3,0.0,0.445,0.455,10.97,-3.64,28.74,119.4,17.0,1401.8,61.44,34.0,236.8,0.476,0.488,20.69,5.42,36.33,207.3,0.0,1718.4,57.66,75.7,974.8,0.455,0.47,9.68,-8.92,28.87,138.6,24.0,722.7,72.23,11.5,287.3,0.464,0.475
Mere,Alba,2002,829665.0,11.0,8752.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.47,-15.25,36.92,414.9,104.0,4387.7,1930.0,66.59,65.1,1568.1,4178.5,232.6,1.88,0.479,0.492,0.06,-13.08,14.78,15.8,43.0,354.9,81.83,1.2,0.0,0.561,0.554,11.02,-4.77,29.19,75.4,22.0,1461.3,59.14,24.7,282.8,0.48,0.495,21.41,6.02,36.92,158.4,0.0,1742.6,54.71,32.3,1042.4,0.422,0.445,10.26,-5.61,27.88,131.0,13.0,727.7,70.79,6.8,242.9,0.456,0.477
Mere,Alba,2003,828750.0,17.0,13811.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,9.38,-17.15,34.0,508.1,134.0,4755.3,2083.6,70.3,133.0,1594.0,3850.5,318.8,1.77,0.546,0.537,-4.47,-17.15,7.83,53.3,57.0,372.2,86.43,0.0,0.0,0.643,0.605,9.51,-8.41,31.51,108.9,32.0,1528.7,68.08,78.4,300.0,0.581,0.565,22.01,9.38,34.0,131.9,0.0,1911.7,51.9,38.8,1088.7,0.416,0.446,8.93,-5.45,30.29,195.1,18.0,806.7,76.24,15.5,205.3,0.548,0.533
Mere,Alba,2004,856253.0,36.0,30537.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,9.26,-16.84,36.34,706.4,114.0,4486.5,1983.6,74.83,340.7,1312.0,3770.9,299.3,1.82,0.609,0.587,-3.35,-16.84,10.45,87.1,54.0,337.4,86.66,0.2,0.0,0.703,0.654,8.74,-11.96,24.77,181.7,21.0,1358.7,75.22,143.1,134.7,0.701,0.66,19.97,8.28,36.34,234.0,0.0,1843.0,62.65,163.7,895.6,0.503,0.51,10.5,-5.65,28.78,180.0,14.0,842.1,74.07,33.4,281.0,0.537,0.532
Mere,Alba,2005,721948.0,19.0,16222.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,8.65,-19.95,33.54,847.8,137.0,4472.8,1984.2,78.81,619.9,1242.4,3572.6,337.8,1.72,0.65,0.619,-3.44,-19.95,7.78,82.6,57.0,345.3,89.03,0.0,0.0,0.71,0.663,8.35,-15.7,27.09,218.8,28.0,1399.5,76.74,154.5,180.5,0.743,0.698,19.0,4.84,33.54,386.8,0.0,1721.8,72.42,383.4,805.2,0.609,0.582,9.6,-10.31,26.45,108.0,23.0,913.1,77.14,82.1,256.8,0.552,0.549
Mere,Alba,2006,642301.0,19.0,11897.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,9.32,-20.68,33.36,731.9,115.0,4425.8,1961.3,76.39,509.3,1307.2,3801.4,291.4,1.75,0.616,0.594,-3.88,-20.68,13.53,44.6,55.0,326.1,86.23,0.5,0.0,0.702,0.651,9.14,-10.13,29.11,223.7,24.0,1248.4,77.53,152.2,172.9,0.723,0.677,19.48,5.45,33.36,360.1,0.0,1804.0,69.05,285.3,855.8,0.567,0.554,10.74,-5.44,28.65,78.6,15.0,933.6,73.55,70.9,278.5,0.528,0.533
Mere,Alba,2007,516753.0,12.0,6113.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.52,-9.54,38.23,747.8,103.0,4700.2,2069.6,71.77,313.8,1546.3,4063.4,118.5,1.88,0.588,0.57,1.7,-9.54,12.92,76.9,38.0,294.2,85.17,0.8,0.0,0.633,0.598,11.12,-2.83,29.53,168.1,12.0,1575.0,66.57,92.4,257.4,0.585,0.57,22.14,9.61,38.23,262.7,0.0,1953.1,55.86,146.4,1109.8,0.476,0.492,8.31,-5.78,25.53,218.4,25.0,776.9,78.18,74.1,179.2,0.626,0.595
Mere,Alba,2008,485493.0,17.0,8368.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.2,-14.12,35.44,716.6,100.0,4598.2,2030.8,74.15,411.3,1432.6,4001.9,157.4,1.74,0.614,0.592,-0.35,-14.12,17.53,34.4,47.0,390.7,84.47,2.0,0.4,0.735,0.688,9.81,-4.24,28.41,198.2,13.0,1347.8,76.2,156.5,182.4,0.701,0.656,20.95,8.22,35.44,262.9,0.0,1934.7,61.1,218.7,991.4,0.509,0.516,10.27,-6.75,34.35,170.0,17.0,808.9,73.17,33.9,258.5,0.536,0.531
Mere,Alba,2009,520113.0,18.0,9439.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.28,-19.72,32.55,679.2,102.0,4696.6,2066.2,73.07,354.9,1571.1,4103.7,252.5,1.64,0.59,0.574,-2.33,-14.61,13.26,73.7,49.0,317.6,88.27,0.4,0.0,0.711,0.661,10.04,-5.49,29.37,123.2,24.0,1514.9,70.98,125.0,237.8,0.672,0.646,20.91,6.23,32.55,285.5,0.0,1938.7,61.64,218.7,986.2,0.511,0.518,11.44,-4.85,31.35,143.6,10.0,835.7,71.56,10.6,347.1,0.497,0.496
