Judet,An,Kg_pe_Pom,Rootstock_ID,phh2o,clay,sand,silt,soc,nitrogen,cec,temp_medie_vara,precipitatii_vara,umid_sol_rad_vara,temp_medie_an,precipitatii_an,cdd10_an,precipitatii_toamna,temp_medie_toamna,umid_sol_rad_toamna,zile_inghet_toamna,temp_min_iarna,zile_inghet_iarna
Alba,2000,8.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,21.88,79.9,0.421,10.66,253.6,1695.6,38.0,11.76,0.415,5.0,-20.17,56.0
Alba,2001,12.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,20.69,207.3,0.47,9.78,519.0,1498.9,138.6,9.68,0.475,24.0,-11.99,43.0
Alba,2002,11.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,21.41,158.4,0.445,10.47,414.9,1568.1,131.0,10.26,0.477,13.0,-13.08,43.0
Alba,2003,17.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,22.01,131.9,0.446,9.38,508.1,1594.0,195.1,8.93,0.533,18.0,-17.15,57.0
Alba,2004,36.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,19.97,234.0,0.51,9.26,706.4,1312.0,180.0,10.5,0.532,14.0,-16.84,54.0
Alba,2005,19.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,19.0,386.8,0.582,8.65,847.8,1242.4,108.0,9.6,0.549,23.0,-19.95,57.0
Alba,2006,19.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,19.48,360.1,0.554,9.32,731.9,1307.2,78.6,10.74,0.533,15.0,-20.68,55.0
Alba,2007,12.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,22.14,262.7,0.492,10.52,747.8,1546.3,218.4,8.31,0.595,25.0,-9.54,38.0
Alba,2008,17.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,20.95,262.9,0.516,10.2,716.6,1432.6,170.0,10.27,0.531,17.0,-14.12,47.0
Alba,2009,18.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,20.91,285.5,0.518,10.28,679.2,1571.1,143.6,11.44,0.496,10.0,-14.61,49.0
Alba,2010,23.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,20.58,349.4,0.599,9.59,846.8,1344.9,117.5,10.11,0.513,15.0,-15.48,48.0
Alba,2011,31.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,20.74,258.1,0.511,9.87,494.4,1543.4,31.5,10.3,0.426,27.0,-15.87,54.0
Alba,2012,16.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,23.2,148.8,0.474,10.42,604.3,1905.4,101.7,12.83,0.455,6.0,-26.43,60.0
Alba,2013,17.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,20.76,235.6,0.517,10.16,677.9,1502.1,160.1,10.61,0.535,10.0,-11.48,53.0
Alba,2014,18.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,19.79,295.7,0.543,10.87,727.0,1411.6,126.1,11.28,0.502,14.0,-10.52,35.0
Alba,2015,15.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,22.29,204.4,0.481,10.89,626.6,1664.8,200.2,11.31,0.537,9.0,-14.94,47.0
Alba,2016,16.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,20.68,340.7,0.572,10.1,848.0,1462.2,179.5,9.93,0.538,17.0,-13.44,45.0
Alba,2017,13.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,21.86,230.8,0.502,10.32,664.4,1557.2,164.1,10.34,0.502,12.0,-18.86,52.0
Alba,2018,30.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,20.7,368.9,0.571,10.98,740.4,1759.3,80.1,11.88,0.463,10.0,-11.44,50.0
Alba,2019,27.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,21.9,218.2,0.523,11.42,642.4,1704.1,102.0,13.45,0.452,3.0,-12.72,54.0
Alba,2020,27.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,20.15,397.9,0.595,10.43,853.5,1434.1,180.0,11.32,0.561,14.0,-8.09,51.0
Alba,2021,26.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,21.65,223.9,0.519,9.99,706.3,1415.9,97.6,10.09,0.487,13.0,-12.82,44.0
Alba,2022,22.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,22.75,192.9,0.466,10.99,635.5,1657.1,201.0,11.38,0.562,7.0,-14.64,53.0
Alba,2023,20.0,2,6.283,33.189,29.672,37.161,34.439,3.087,25.511,21.62,276.6,0.552,11.42,779.9,1666.2,161.6,12.99,0.494,11.0,-12.08,41.0
