Specie,Judet,An,Numar_Pomi,Kg_pe_Pom,Tone_Totale
Mere, Alba,2000,874496.0,8.0,6759.0
Mere, Alba,2001,828878.0,12.0,9728.0
Mere, Alba,2002,829665.0,11.0,8752.0
Mere, Alba,2003,828750.0,17.0,13811.0
Mere, Alba,2004,856253.0,36.0,30537.0
Mere, Alba,2005,721948.0,19.0,16222.0
Mere, Alba,2006,642301.0,19.0,11897.0
Mere, Alba,2007,516753.0,12.0,6113.0
Mere, Alba,2008,485493.0,17.0,8368.0
Mere, Alba,2009,520113.0,18.0,9439.0
Mere, Alba,2010,516810.0,23.0,11736.0
Mere, Alba,2011,507029.0,31.0,15883.0
Mere, Alba,2012,546902.0,16.0,8496.0
Mere, Alba,2013,522632.0,17.0,9017.0
Mere, Alba,2014,487473.0,18.0,8747.0
Mere, Alba,2015,530154.0,15.0,7819.0
Mere, Alba,2016,526772.0,16.0,8669.0
Mere, Alba,2017,519021.0,13.0,6833.0
Mere, Alba,2018,504048.0,30.0,14993.0
Mere, Alba,2019,481916.0,27.0,13057.0
Mere, Alba,2020,431779.0,27.0,11620.0
Mere, Alba,2021,528111.0,26.0,13850.0
Mere, Alba,2022,544246.0,22.0,11957.0
Mere, Alba,2023,608501.0,20.0,12280.0
Mere, Alba,2024,591711.0,20.0,11865.0
Mere, Arad,2000,1038309.0,7.0,7781.0
Mere, Arad,2001,1010597.0,8.0,7194.0
Mere, Arad,2002,958187.0,11.0,10263.0
Mere, Arad,2003,1061923.0,20.0,21101.0
Mere, Arad,2004,1187457.0,37.0,44501.0
Mere, Arad,2005,1927230.0,11.0,21036.0
Mere, Arad,2006,1597739.0,15.0,23314.0
Mere, Arad,2007,268088.0,36.0,9548.0
Mere, Arad,2008,233919.0,30.0,7118.0
Mere, Arad,2009,230337.0,28.0,6369.0
Mere, Arad,2010,1072219.0,11.0,11905.0
Mere, Arad,2011,564896.0,12.0,7049.0
Mere, Arad,2012,523408.0,13.0,6784.0
Mere, Arad,2013,520630.0,13.0,6628.0
Mere, Arad,2014,282884.0,19.0,5362.0
Mere, Arad,2015,411192.0,13.0,5244.0
Mere, Arad,2016,301282.0,15.0,4457.0
Mere, Arad,2017,302363.0,9.0,2759.0
Mere, Arad,2018,358264.0,16.0,5645.0
Mere, Arad,2019,295351.0,15.0,4565.0
Mere, Arad,2020,305407.0,18.0,5642.0
Mere, Arad,2021,457738.0,17.0,7706.0
Mere, Arad,2022,301494.0,25.0,7458.0
Mere, Arad,2023,401724.0,14.0,5543.0
