Judet,lat,lon,puncte_valide,phh2o,clay,sand,silt,soc,nitrogen,cec
Alba,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511
Arad,46.17,21.32,8,6.612,46.033,18.642,35.317,23.525,2.699,29.296
Arges,45.08,24.87,8,5.763,31.771,34.471,33.758,30.408,3.375,20.342
Bacau,46.57,26.91,8,6.604,39.65,22.271,38.087,27.804,2.733,26.425
Bihor,47.05,21.95,8,6.312,42.2,22.213,35.575,21.512,2.871,24.512
Bistrita-Nasaud,47.13,24.5,8,6.104,37.967,25.396,36.638,38.025,4.093,24.696
Botosani,47.75,26.67,6,6.494,43.017,15.606,41.372,31.666,2.872,26.767
Brasov,45.65,25.61,7,6.0,33.938,25.424,40.629,42.624,3.281,25.757
Braila,45.27,27.96,7,7.619,38.195,11.281,50.533,24.276,2.293,26.367
Buzau,45.15,26.82,8,7.013,41.946,18.75,39.296,25.062,2.339,29.875
Caras-Severin,45.3,22.07,9,5.685,31.341,32.504,36.152,39.411,3.747,23.13
Calarasi,44.2,26.33,9,6.733,46.919,13.496,39.585,23.504,2.337,26.015
Cluj,46.77,23.59,8,6.5,38.913,21.679,39.417,31.113,3.154,25.358
Constanta,44.18,28.65,3,7.578,41.789,8.3,49.911,21.167,2.142,24.222
Covasna,45.87,26.18,8,6.179,32.671,28.729,38.592,39.625,3.236,25.625
Dambovita,44.93,25.45,8,6.033,41.188,24.775,34.054,27.396,2.762,24.596
Dolj,44.31,23.8,7,6.467,48.0,19.319,32.695,22.452,2.492,29.357
Galati,45.43,28.05,7,7.538,36.714,12.338,50.957,22.324,2.252,25.99
Giurgiu,43.9,25.97,7,6.676,47.314,8.938,43.738,24.243,2.475,27.576
Gorj,44.95,23.27,8,6.162,34.583,34.542,30.879,26.742,2.96,22.879
Harghita,46.43,25.57,9,5.745,28.759,31.892,39.359,47.919,3.625,26.048
Hunedoara,45.75,22.9,8,6.013,36.567,28.813,34.629,30.483,3.061,23.975
Ialomita,44.6,27.37,9,7.3,40.455,10.663,48.874,23.807,2.372,29.663
Iasi,47.16,27.59,7,6.829,43.252,17.819,38.938,28.529,3.046,27.609
Ilfov,44.53,26.17,7,6.714,47.567,15.143,37.276,25.595,2.422,26.452
Maramures,47.66,23.57,8,5.808,35.233,29.092,35.671,46.883,4.245,24.758
Mehedinti,44.63,22.65,5,6.113,32.38,34.607,33.013,25.74,2.839,23.113
Mures,46.55,24.56,8,6.783,42.617,20.637,36.758,30.275,2.74,26.454
Neamt,46.97,26.38,8,6.258,35.867,28.596,35.55,38.083,3.089,26.642
Olt,44.43,24.37,8,6.296,47.279,18.342,34.367,22.729,2.546,27.117
Prahova,45.07,25.99,8,6.333,38.15,26.292,35.55,28.654,2.609,25.629
Satu Mare,47.8,22.87,7,6.348,35.552,28.214,36.233,22.795,2.941,24.014
Salaj,47.19,23.06,7,6.224,40.605,24.228,35.162,27.309,3.445,25.7
Sibiu,45.8,24.15,8,6.221,33.875,31.817,34.317,40.008,3.222,26.079
Suceava,47.65,26.25,8,6.279,40.462,23.142,36.4,29.95,2.67,25.688
Teleorman,43.98,25.0,9,6.73,47.722,12.589,39.696,22.204,2.69,29.463
Timis,45.75,21.22,8,6.562,46.179,18.459,35.375,22.8,2.559,29.033
Tulcea,45.18,29.02,7,7.633,33.238,12.262,54.505,24.462,2.436,23.824
Vaslui,46.64,27.73,8,6.796,37.933,28.771,33.3,28.183,2.906,26.554
Valcea,45.1,24.37,8,5.737,32.233,34.675,33.067,32.921,3.319,21.054
Vrancea,45.7,27.18,7,7.086,41.281,18.924,39.8,24.914,2.456,28.033
Bucuresti,44.43,26.1,6,6.633,50.539,14.633,34.828,21.111,2.204,26.056
