Area,Year,Area harvested,Production,Yield,Temp_Medie_An,Precip_Tot_An,Zile_Inghet_An,Temp_Max_primavara_critica,Precip_primavara_critica,Inghet_primavara_critica,Umid_Sol_primavara_critica,Temp_Max_vara_crestere,Precip_vara_crestere,Inghet_vara_crestere,Umid_Sol_vara_crestere
Afghanistan,2005,2751.0,20239.0,73570.0,11.38,296.6,119.0,25.93,90.8,15.0,0.412,36.74,110.7,0.0,0.379
Afghanistan,2006,7000.0,52500.0,75000.0,12.38,420.0,99.0,32.83,92.3,15.0,0.444,36.12,93.2,0.0,0.359
Afghanistan,2007,7000.0,59500.0,85000.0,12.15,339.4,107.0,30.87,145.0,20.0,0.533,34.38,76.3,0.0,0.369
Afghanistan,2008,7000.0,56061.0,80087.0,12.04,418.9,89.0,31.84,166.8,1.0,0.428,34.73,133.8,0.0,0.388
Afghanistan,2009,8550.0,72765.0,85105.0,10.97,601.8,117.0,28.33,271.4,19.0,0.629,35.37,66.9,0.0,0.404
Afghanistan,2010,8550.0,59850.0,70000.0,12.16,700.4,91.0,30.12,160.9,9.0,0.515,33.79,322.8,0.0,0.473
Afghanistan,2011,8863.0,62041.0,70000.0,11.22,856.0,112.0,30.37,256.1,22.0,0.562,33.78,191.5,0.0,0.422
Afghanistan,2012,9148.0,70000.0,76519.0,9.02,890.1,121.0,25.43,348.7,21.0,0.773,32.96,178.8,0.0,0.486
Afghanistan,2013,10341.0,78597.0,76005.0,11.5,642.6,110.0,28.85,338.5,15.0,0.696,36.01,10.7,0.0,0.402
Afghanistan,2014,12247.0,89403.0,73000.0,10.55,838.6,119.0,26.84,399.5,28.0,0.732,34.71,75.3,0.0,0.453
Afghanistan,2015,13038.0,89733.0,68824.0,10.97,994.2,102.0,26.29,338.6,17.0,0.717,32.92,208.9,0.0,0.477
Afghanistan,2016,19365.0,140903.0,72762.0,11.9,988.9,82.0,26.32,484.0,9.0,0.708,31.79,365.0,0.0,0.586
Afghanistan,2017,26847.0,175000.0,65184.0,12.13,362.0,113.0,30.96,92.8,24.0,0.531,35.69,43.2,0.0,0.361
Afghanistan,2018,28381.0,217192.0,76527.0,12.9,231.0,87.0,30.65,79.2,2.0,0.395,36.33,25.8,0.0,0.352
Afghanistan,2019,27559.0,250324.0,90832.0,11.44,451.5,118.0,29.23,152.3,20.0,0.582,36.33,39.9,0.0,0.381
Africa,2005,128478.0,1903990.0,148196.0,18.99,763.2,0.0,27.19,280.4,0.0,0.756,29.09,19.3,0.0,0.493
Africa,2006,130743.0,2019887.0,154493.0,18.48,1458.1,0.0,27.3,619.8,0.0,0.774,29.73,10.9,0.0,0.568
Africa,2007,134942.0,2021888.0,149834.0,18.45,1315.2,0.0,27.61,326.9,0.0,0.793,29.31,115.2,0.0,0.569
Africa,2008,136337.0,2141215.0,157053.0,18.34,1193.9,0.0,26.88,338.5,0.0,0.797,29.64,7.4,0.0,0.524
Africa,2009,135063.0,2161994.0,160073.0,18.6,1270.6,0.0,31.45,421.3,0.0,0.813,29.49,1.0,0.0,0.512
Africa,2010,153508.0,2203907.0,143570.0,18.94,825.9,0.0,28.55,324.0,0.0,0.717,29.08,13.5,0.0,0.496
Africa,2011,156345.0,2316523.0,148167.0,18.56,1518.9,0.0,26.35,475.9,0.0,0.847,30.17,1.0,0.0,0.541
Africa,2012,152599.0,2366296.0,155066.0,18.63,1140.1,0.0,26.9,306.0,0.0,0.797,30.38,12.8,0.0,0.504
Africa,2013,166446.0,2726919.0,163832.0,18.93,1204.9,0.0,27.36,341.7,0.0,0.759,30.31,7.1,0.0,0.494
Africa,2014,157317.0,2556821.0,162527.0,18.69,1353.6,0.0,26.99,391.6,0.0,0.844,31.12,4.3,0.0,0.533
Africa,2015,164901.0,2877574.0,174503.0,19.13,1275.7,0.0,27.49,205.8,0.0,0.736,30.31,0.6,0.0,0.477
Africa,2016,180186.0,2731225.0,151578.0,18.94,1324.4,0.0,27.88,537.8,0.0,0.841,30.49,1.1,0.0,0.527
Africa,2017,171591.0,3084246.0,179744.0,18.51,1860.0,0.0,27.05,342.3,0.0,0.794,28.25,201.4,0.0,0.568
Africa,2018,166374.0,2867625.0,172360.0,18.14,2245.8,0.0,26.71,711.8,0.0,0.87,28.84,82.4,0.0,0.599
Africa,2019,161676.0,3132896.0,193776.0,18.9,2275.9,0.0,27.96,553.5,0.0,0.839,29.86,27.7,0.0,0.519
Albania,2005,3000.0,16000.0,53333.0,11.09,994.5,79.0,24.71,177.0,14.0,0.866,36.82,123.5,0.0,0.529
Albania,2006,5500.0,27566.0,50120.0,11.51,853.6,73.0,29.44,240.8,10.0,0.897,37.76,210.6,0.0,0.573
