Area,Element,Year,Unit,Value
Afghanistan,Area harvested,1961,ha,2220.0
Afghanistan,Area harvested,1962,ha,2220.0
Afghanistan,Area harvested,1963,ha,2220.0
Afghanistan,Area harvested,1964,ha,2350.0
Afghanistan,Area harvested,1965,ha,2480.0
Afghanistan,Area harvested,1966,ha,2740.0
Afghanistan,Area harvested,1967,ha,3060.0
Afghanistan,Area harvested,1968,ha,2990.0
Afghanistan,Area harvested,1969,ha,3040.0
Afghanistan,Area harvested,1970,ha,3060.0
Afghanistan,Area harvested,1971,ha,3060.0
Afghanistan,Area harvested,1972,ha,3150.0
Afghanistan,Area harvested,1973,ha,3210.0
Afghanistan,Area harvested,1974,ha,3270.0
Afghanistan,Area harvested,1975,ha,3270.0
Afghanistan,Area harvested,1976,ha,3270.0
Afghanistan,Area harvested,1977,ha,3280.0
Afghanistan,Area harvested,1978,ha,3250.0
Afghanistan,Area harvested,1979,ha,3150.0
Afghanistan,Area harvested,1980,ha,3150.0
Afghanistan,Area harvested,1981,ha,3080.0
Afghanistan,Area harvested,1982,ha,2960.0
Afghanistan,Area harvested,1983,ha,2850.0
Afghanistan,Area harvested,1984,ha,2730.0
Afghanistan,Area harvested,1985,ha,2660.0
Afghanistan,Area harvested,1986,ha,2590.0
Afghanistan,Area harvested,1987,ha,2230.0
Afghanistan,Area harvested,1988,ha,2330.0
Afghanistan,Area harvested,1989,ha,2340.0
Afghanistan,Area harvested,1990,ha,2365.0
Afghanistan,Area harvested,1991,ha,2346.0
Afghanistan,Area harvested,1992,ha,2308.0
Afghanistan,Area harvested,1993,ha,2300.0
Afghanistan,Area harvested,1994,ha,2350.0
Afghanistan,Area harvested,1995,ha,2631.0
Afghanistan,Area harvested,1996,ha,3135.0
Afghanistan,Area harvested,1997,ha,3748.0
Afghanistan,Area harvested,1998,ha,4410.0
Afghanistan,Area harvested,1999,ha,4930.0
Afghanistan,Area harvested,2000,ha,5598.0
Afghanistan,Area harvested,2001,ha,5482.0
Afghanistan,Area harvested,2002,ha,5045.0
Afghanistan,Area harvested,2003,ha,3935.0
Afghanistan,Area harvested,2004,ha,2311.0
Afghanistan,Area harvested,2005,ha,2751.0
Afghanistan,Area harvested,2006,ha,7000.0
Afghanistan,Area harvested,2007,ha,7000.0
Afghanistan,Area harvested,2008,ha,7000.0
Afghanistan,Area harvested,2009,ha,8550.0
Afghanistan,Area harvested,2010,ha,8550.0
Afghanistan,Area harvested,2011,ha,8863.0
Afghanistan,Area harvested,2012,ha,9148.0
Afghanistan,Area harvested,2013,ha,10341.0
Afghanistan,Area harvested,2014,ha,12247.0
Afghanistan,Area harvested,2015,ha,13038.0
Afghanistan,Area harvested,2016,ha,19365.0
Afghanistan,Area harvested,2017,ha,26847.0
Afghanistan,Area harvested,2018,ha,28381.0
Afghanistan,Area harvested,2019,ha,27559.0
Afghanistan,Yield,1961,hg/ha,68018.0
Afghanistan,Yield,1962,hg/ha,68018.0
Afghanistan,Yield,1963,hg/ha,68018.0
Afghanistan,Yield,1964,hg/ha,78298.0
Afghanistan,Yield,1965,hg/ha,82258.0
Afghanistan,Yield,1966,hg/ha,83212.0
Afghanistan,Yield,1967,hg/ha,90196.0
Afghanistan,Yield,1968,hg/ha,93311.0
Afghanistan,Yield,1969,hg/ha,92763.0
Afghanistan,Yield,1970,hg/ha,89216.0
Afghanistan,Yield,1971,hg/ha,70261.0
Afghanistan,Yield,1972,hg/ha,84444.0
Afghanistan,Yield,1973,hg/ha,85981.0
Afghanistan,Yield,1974,hg/ha,85015.0
Afghanistan,Yield,1975,hg/ha,85321.0
Afghanistan,Yield,1976,hg/ha,80122.0
Afghanistan,Yield,1977,hg/ha,47256.0
Afghanistan,Yield,1978,hg/ha,69846.0
Afghanistan,Yield,1979,hg/ha,68571.0
Afghanistan,Yield,1980,hg/ha,70794.0
Afghanistan,Yield,1981,hg/ha,71753.0
Afghanistan,Yield,1982,hg/ha,72297.0
Afghanistan,Yield,1983,hg/ha,72982.0
Afghanistan,Yield,1984,hg/ha,73260.0
Afghanistan,Yield,1985,hg/ha,71805.0
Afghanistan,Yield,1986,hg/ha,74903.0
Afghanistan,Yield,1987,hg/ha,74439.0
Afghanistan,Yield,1988,hg/ha,72532.0
Afghanistan,Yield,1989,hg/ha,72222.0
Afghanistan,Yield,1990,hg/ha,71319.0
Afghanistan,Yield,1991,hg/ha,74625.0
Afghanistan,Yield,1992,hg/ha,74523.0
Afghanistan,Yield,1993,hg/ha,73913.0
Afghanistan,Yield,1994,hg/ha,74468.0
Afghanistan,Yield,1995,hg/ha,74759.0
Afghanistan,Yield,1996,hg/ha,74453.0
Afghanistan,Yield,1997,hg/ha,73978.0
Afghanistan,Yield,1998,hg/ha,73438.0
Afghanistan,Yield,1999,hg/ha,72876.0
Afghanistan,Yield,2000,hg/ha,72419.0
Afghanistan,Yield,2001,hg/ha,72131.0
Afghanistan,Yield,2002,hg/ha,70624.0
Afghanistan,Yield,2003,hg/ha,71266.0
Afghanistan,Yield,2004,hg/ha,72228.0
Afghanistan,Yield,2005,hg/ha,73570.0
Afghanistan,Yield,2006,hg/ha,75000.0
Afghanistan,Yield,2007,hg/ha,85000.0
Afghanistan,Yield,2008,hg/ha,80087.0
Afghanistan,Yield,2009,hg/ha,85105.0
Afghanistan,Yield,2010,hg/ha,70000.0
Afghanistan,Yield,2011,hg/ha,70000.0
Afghanistan,Yield,2012,hg/ha,76519.0
Afghanistan,Yield,2013,hg/ha,76005.0
Afghanistan,Yield,2014,hg/ha,73000.0
Afghanistan,Yield,2015,hg/ha,68824.0
Afghanistan,Yield,2016,hg/ha,72762.0
Afghanistan,Yield,2017,hg/ha,65184.0
Afghanistan,Yield,2018,hg/ha,76527.0
Afghanistan,Yield,2019,hg/ha,90832.0
Afghanistan,Production,1961,tonnes,15100.0
Afghanistan,Production,1962,tonnes,15100.0
Afghanistan,Production,1963,tonnes,15100.0
Afghanistan,Production,1964,tonnes,18400.0
Afghanistan,Production,1965,tonnes,20400.0
Afghanistan,Production,1966,tonnes,22800.0
Afghanistan,Production,1967,tonnes,27600.0
Afghanistan,Production,1968,tonnes,27900.0
Afghanistan,Production,1969,tonnes,28200.0
Afghanistan,Production,1970,tonnes,27300.0
Afghanistan,Production,1971,tonnes,21500.0
Afghanistan,Production,1972,tonnes,26600.0
Afghanistan,Production,1973,tonnes,27600.0
Afghanistan,Production,1974,tonnes,27800.0
