Area,Element,Year,Unit,Value
Afghanistan,Area harvested,2005,ha,2751.0
Afghanistan,Area harvested,2006,ha,7000.0
Afghanistan,Area harvested,2007,ha,7000.0
Afghanistan,Area harvested,2008,ha,7000.0
Afghanistan,Area harvested,2009,ha,8550.0
Afghanistan,Area harvested,2010,ha,8550.0
Afghanistan,Area harvested,2011,ha,8863.0
Afghanistan,Area harvested,2012,ha,9148.0
Afghanistan,Area harvested,2013,ha,10341.0
Afghanistan,Area harvested,2014,ha,12247.0
Afghanistan,Area harvested,2015,ha,13038.0
Afghanistan,Area harvested,2016,ha,19365.0
Afghanistan,Area harvested,2017,ha,26847.0
Afghanistan,Area harvested,2018,ha,28381.0
Afghanistan,Area harvested,2019,ha,27559.0
Afghanistan,Yield,2005,hg/ha,73570.0
Afghanistan,Yield,2006,hg/ha,75000.0
Afghanistan,Yield,2007,hg/ha,85000.0
Afghanistan,Yield,2008,hg/ha,80087.0
Afghanistan,Yield,2009,hg/ha,85105.0
Afghanistan,Yield,2010,hg/ha,70000.0
Afghanistan,Yield,2011,hg/ha,70000.0
Afghanistan,Yield,2012,hg/ha,76519.0
Afghanistan,Yield,2013,hg/ha,76005.0
Afghanistan,Yield,2014,hg/ha,73000.0
Afghanistan,Yield,2015,hg/ha,68824.0
Afghanistan,Yield,2016,hg/ha,72762.0
Afghanistan,Yield,2017,hg/ha,65184.0
Afghanistan,Yield,2018,hg/ha,76527.0
Afghanistan,Yield,2019,hg/ha,90832.0
Afghanistan,Production,2005,tonnes,20239.0
Afghanistan,Production,2006,tonnes,52500.0
Afghanistan,Production,2007,tonnes,59500.0
Afghanistan,Production,2008,tonnes,56061.0
Afghanistan,Production,2009,tonnes,72765.0
Afghanistan,Production,2010,tonnes,59850.0
Afghanistan,Production,2011,tonnes,62041.0
Afghanistan,Production,2012,tonnes,70000.0
Afghanistan,Production,2013,tonnes,78597.0
Afghanistan,Production,2014,tonnes,89403.0
Afghanistan,Production,2015,tonnes,89733.0
Afghanistan,Production,2016,tonnes,140903.0
Afghanistan,Production,2017,tonnes,175000.0
Afghanistan,Production,2018,tonnes,217192.0
Afghanistan,Production,2019,tonnes,250324.0
Albania,Area harvested,2005,ha,3000.0
Albania,Area harvested,2006,ha,5500.0
Albania,Area harvested,2007,ha,7000.0
Albania,Area harvested,2008,ha,6500.0
Albania,Area harvested,2009,ha,5000.0
Albania,Area harvested,2010,ha,3913.0
Albania,Area harvested,2011,ha,3450.0
Albania,Area harvested,2012,ha,3719.0
Albania,Area harvested,2013,ha,3838.0
Albania,Area harvested,2014,ha,3863.0
Albania,Area harvested,2015,ha,4008.0
Albania,Area harvested,2016,ha,4230.0
Albania,Area harvested,2017,ha,4346.0
Albania,Area harvested,2018,ha,4294.0
Albania,Area harvested,2019,ha,4407.0
Albania,Yield,2005,hg/ha,53333.0
Albania,Yield,2006,hg/ha,50120.0
Albania,Yield,2007,hg/ha,51429.0
Albania,Yield,2008,hg/ha,69231.0
Albania,Yield,2009,hg/ha,94404.0
Albania,Yield,2010,hg/ha,139545.0
Albania,Yield,2011,hg/ha,185507.0
Albania,Yield,2012,hg/ha,191718.0
Albania,Yield,2013,hg/ha,197316.0
Albania,Yield,2014,hg/ha,212426.0
Albania,Yield,2015,hg/ha,228882.0
Albania,Yield,2016,hg/ha,240028.0
Albania,Yield,2017,hg/ha,221671.0
Albania,Yield,2018,hg/ha,252387.0
Albania,Yield,2019,hg/ha,240374.0
Albania,Production,2005,tonnes,16000.0
Albania,Production,2006,tonnes,27566.0
Albania,Production,2007,tonnes,36000.0
Albania,Production,2008,tonnes,45000.0
Albania,Production,2009,tonnes,47202.0
Albania,Production,2010,tonnes,54604.0
Albania,Production,2011,tonnes,64000.0
Albania,Production,2012,tonnes,71300.0
Albania,Production,2013,tonnes,75730.0
Albania,Production,2014,tonnes,82060.0
Albania,Production,2015,tonnes,91736.0
Albania,Production,2016,tonnes,101532.0
Albania,Production,2017,tonnes,96338.0
Albania,Production,2018,tonnes,108375.0
Albania,Production,2019,tonnes,105933.0
